regime,feature,launch_mean,control_mean,launch_median,control_median,cohens_d,n_launch,n_control
transition,atr_pct,0.04644028982504938,0.0396373573525761,0.04312218313558389,0.037467585824626046,0.43224513393076164,1803,121208
transition,pct_above_sma200,-0.0774797249638634,0.008350301467775417,-0.08504488581242847,-0.012149182372931389,-0.40894725126327697,1736,117309
transition,range_compression_20,0.22893412861395507,0.1871581776363751,0.1877459250431393,0.16315045867137645,0.3242499227245098,1802,121100
transition,sma50_rising,0.4098451327433628,0.5278754394776495,0.0,1.0,-0.23815826963629738,1808,121451
transition,vol_ratio_5_20,0.9346919348328784,1.0079352560539658,0.8759086293191061,0.9250620776688417,-0.1723619603423816,1802,121100
transition,narrow_range_count_10,5.0554323725055434,4.838966071649421,5.0,5.0,0.10696083478419544,1804,121285
transition,rs_50,-0.06541111083087553,0.07865122474168629,-0.0702241312028099,-0.006139660939838254,-0.03562328003659567,1796,120652
transition,adx14,25.915670623036952,26.0201098827479,23.771480275820657,23.83478280630555,-0.00982243696995933,1800,121001
transition,ret_5,-0.05555530294588627,inf,-0.04700579176138281,-0.0035620199670574615,,1806,121362
transition,ret_10,-0.07111933295894265,inf,-0.05676753214593161,-0.006641464831556643,,1804,121266
transition,ret_20,-0.08903227235358452,inf,-0.08039487687700148,-0.01092010407163485,,1802,121084
transition,rs_20,-0.0742791936058543,inf,-0.06686828978388443,-0.009249517226867787,,1802,121056
