timeframe,threshold,direction,bb_bucket,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
1minute,2.0,below,below_lower,32024,0.0667732165870679,0.672125311498754,0.005922521764458397,0.14493590778618035,0.07338190632829783,0.7818398964933816,0.014265335235378032,0.20843778216714587,0.08136748460445212,0.8697695950998896,0.03322531248887148,0.2850522121332623,0.08451425109535965,0.9272909163665466,0.07563025210084033,0.37429078181651015
1minute,2.0,below,inside_bands,59972,0.025018167365733195,0.6908303520994163,0.0032351380496739184,0.1406195669386507,0.0219636658096619,0.796213437209384,0.008387289221105087,0.21083875003336897,0.016513189333683304,0.8747659393018039,0.02356365524017872,0.30273162128584474,0.02658557074017748,0.9304845385926467,0.061419527635743855,0.40690731150315124
1minute,3.0,above,above_upper,9040,0.024273650136640807,0.7118702159259682,0.0069690391865646064,0.28303528440655995,0.03044625876341425,0.8277653169637587,0.02254751505135167,0.38029534445976504,0.041201916168178684,0.9089982156512872,0.05786387968391537,0.4769966194272127,0.015308849884437332,0.9552997458513978,0.11944984302586335,0.5646980500183731
1minute,3.0,above,below_lower,31,-0.24025489257623903,1.0,0.1,0.11165148734828259,-0.9199131322924908,1.0,0.1,0.2828259912014515,-0.6119903165327035,1.0,0.1,0.3449693733454515,-0.14083644202117382,1.0,0.4444444444444444,0.33284341745113627
1minute,3.0,above,inside_bands,11094,0.014084647397550358,0.7276591812216986,0.0020330838185010627,0.24827345086498817,0.012923100119671734,0.8375296912114014,0.009216152019002376,0.3637516873229761,-0.018215255331511776,0.9066926709094641,0.028638883186204066,0.49715144744263984,-0.021688270650750064,0.9587024042332911,0.07753364776256759,0.6290122028143255
1minute,3.0,below,above_upper,21,0.15777140293111822,0.7619047619047619,0.0,0.109976439099653,0.1894804760734308,0.75,0.05,0.19977867624644616,0.30814628794342724,0.85,0.05,0.30604191755598703,0.24454529883336307,0.875,0.0625,0.3709238720140656
1minute,3.0,below,below_lower,6679,0.12654170682367633,0.6871699285492389,0.005591798695246971,0.21054886859658287,0.1445719821177803,0.79333012666346,0.016354016354016353,0.29863302334945074,0.19456746083634185,0.8770577933450088,0.03887915936952715,0.39731821914804843,0.19262446505564948,0.9370643298147779,0.07966540529774946,0.5235438291143365
1minute,3.0,below,inside_bands,11053,0.02462681527862615,0.6926102837875808,0.0008429334082607474,0.19325945075624298,0.02455891960324248,0.7998449912807596,0.004165859329587289,0.2885716824800517,0.022545636751067605,0.8783222591362126,0.016611295681063124,0.4139809378334581,0.028250461833841434,0.9304732007906057,0.04650622020695268,0.5608509774097055
1minute,4.0,above,above_upper,2975,0.044914171089479066,0.729246935201401,0.006654991243432574,0.34924327105437825,0.05919140214880003,0.8334558823529412,0.020955882352941175,0.4700607521539349,0.1015779760918325,0.9136868064118372,0.053431976983148374,0.5642543190268394,0.16750938239924557,0.9565868263473054,0.10728542914171657,0.6153058487483031
1minute,4.0,above,below_lower,10,0.08358631624979163,1.0,0.1111111111111111,0.2706719041515323,0.3940746779860214,1.0,0.1111111111111111,0.2706719041515323,0.8833488050035898,1.0,0.2857142857142857,0.30797322639612307,0.4829012199358477,1.0,0.5,0.3371464092898133
1minute,4.0,above,inside_bands,3149,0.042847794641104345,0.7245665685312398,0.0016355904481517827,0.30557098782175435,0.050410692310717965,0.8354301258075485,0.008500510030601836,0.43380869597464816,0.04320335284506411,0.9108208955223881,0.022761194029850745,0.5616434539323921,0.09446679509411533,0.9584717607973422,0.057724252491694356,0.6970059816300507
1minute,4.0,below,above_upper,3,0.22398747398317043,1.0,0.0,0.15350882925460288,0.3876637948151192,1.0,0.0,0.31233530361832607,-0.9036795764903585,1.0,0.0,0.9459187594933329,-0.8706389618883447,1.0,0.0,1.6610835832743616
1minute,4.0,below,below_lower,1876,0.20784947995105013,0.6942919868276619,0.006586169045005488,0.2766617475911008,0.2626379775470774,0.7916666666666666,0.018018018018018018,0.3914809545585321,0.31124754407215943,0.8766871165644172,0.04233128834355828,0.5238557339638444,0.3738054038966656,0.9414197105444521,0.09166092350103378,0.6802788528143138
1minute,4.0,below,inside_bands,2807,0.0321915133892198,0.6743844174935686,0.0011025358324145535,0.24378705808481455,0.019811144652973536,0.7864225781845919,0.005339435545385202,0.3649492253347118,0.006697942864870405,0.8658536585365854,0.015853658536585366,0.5342915890641302,0.04241142977201528,0.9277879341864717,0.04250457038391225,0.7164746222541679
5minute,1.5,above,above_upper,40307,0.0095234045618042,0.7736181332727377,0.07064136794864512,0.23931717825309098,0.004771143061443404,0.8801469864496867,0.15364677318809672,0.3047391795458373,0.006665124008429946,0.947043844990849,0.30894405983926154,0.38148171061744873,0.020804301573429506,0.983001579778831,0.5587993680884676,0.4577868169782036
5minute,1.5,above,below_lower,94,0.21468050194904245,0.9021739130434783,0.2608695652173913,0.3024684083485781,0.7416109393250955,0.9777777777777777,0.5666666666666667,0.3499416736654712,-0.010719593991374897,1.0,0.6853932584269663,0.40153671529412227,0.19443062929815794,1.0,0.8160919540229885,0.5496232045569059
5minute,1.5,above,inside_bands,42023,-0.011445347807292307,0.7565026475526282,0.03479271600154979,0.2613282677788128,-0.026084512374222046,0.8647495520095572,0.09463264783684615,0.3622961882963528,-0.03166955469171837,0.9354359541246373,0.21887522454055547,0.47653488389306714,-0.014861550569591667,0.9754267384580135,0.4573834345285829,0.6051647203124525
5minute,1.5,below,above_upper,44,-0.22171908987709876,0.627906976744186,0.20930232558139536,0.5226426930346243,-0.40703352318105984,0.75,0.3,0.7079338722684654,-0.5958588742580524,0.78125,0.4375,0.922015742281847,-0.6076977757814711,0.8125,0.59375,1.0655931529444236
5minute,1.5,below,below_lower,37063,0.03227297248009781,0.7247612332542785,0.03945259919235947,0.2032127258279335,0.009085414828049428,0.8368028784374197,0.09266806182766091,0.2879092172217021,0.020290821360540803,0.9169895114806765,0.21005385996409337,0.38238545270413626,0.11977217981963727,0.9681783374457585,0.4543520803199183,0.4728384776776615
5minute,1.5,below,inside_bands,57256,0.00860056531043425,0.720514327978911,0.0271387661438677,0.22153163169879425,0.012137971475308727,0.8343100248170007,0.07401305499363935,0.3134987539385399,0.03488848975016759,0.9066376217324449,0.1828549461814454,0.4290490452554536,0.08066805434084544,0.954043023552419,0.3876371056882918,0.5628638232347153
5minute,2.0,above,above_upper,19243,0.00034834971890361987,0.7997910649542186,0.06040680882443311,0.2751870094824169,-0.00888888044676564,0.8988853503184714,0.13411986103068907,0.3438040578743185,0.026871848639240085,0.9574791871810939,0.2850237221376779,0.41766615544071356,0.03902409572094067,0.9858834244080146,0.5370370370370371,0.5013203787619311
5minute,2.0,above,below_lower,35,0.44884193986699644,0.9117647058823529,0.2647058823529412,0.20400016647648284,1.4164087426358036,1.0,0.6470588235294118,0.23294374851028674,0.5007061477427663,1.0,0.8235294117647058,0.23298875009402156,0.6787160979897024,1.0,0.8823529411764706,0.46421292693527827
5minute,2.0,above,inside_bands,16897,0.0075541228137005305,0.774063475546306,0.02764047866805411,0.29343079738947175,-0.005811346810785808,0.880755864465682,0.08137851143932812,0.40089081206310034,-0.015970990706861202,0.9441769217050116,0.19065453896914572,0.5244750592142178,-0.019161091705023312,0.9764632041424761,0.4089126000313824,0.6668607724498595
5minute,2.0,below,above_upper,14,-0.4925231351312563,0.6923076923076923,0.07692307692307693,0.5310795255390901,-0.060153035151353985,0.7692307692307693,0.3076923076923077,0.6638784100818372,-0.04860633182192638,0.8461538461538461,0.38461538461538464,0.7103580106961378,-0.40174929952154714,0.8,0.6,1.319960177889751
5minute,2.0,below,below_lower,16046,0.06771537555662621,0.7601768562280835,0.03216953803933526,0.22907257792366595,0.05617205338434349,0.8600856072766185,0.07900838237916889,0.3269279127253245,0.08880471336141926,0.9298435619735259,0.18483754512635378,0.4297191456910447,0.2509913978381049,0.973190984578885,0.42182680901542113,0.5212059691551766
5minute,2.0,below,inside_bands,22805,0.02795127723966242,0.7432880265116949,0.0176744632822631,0.24524697241715723,0.05208667766923902,0.8529035695258391,0.05322322855620671,0.3412959960395988,0.08181240236545687,0.9169019766034692,0.14414414414414414,0.4683094171111469,0.15326657596402815,0.9557633109109566,0.3281267814388325,0.5984120776598935
5minute,3.0,above,above_upper,5033,0.034648052870994504,0.8423173803526448,0.05415617128463476,0.3455020378210313,0.029931331937281317,0.9279556650246306,0.1188423645320197,0.41032773727634014,0.13554843196426258,0.965705378020265,0.27630553390491036,0.48080592243550063,0.15944200568794814,0.9900497512437811,0.48898365316275766,0.5400303989419737
5minute,3.0,above,below_lower,14,-0.14076019307608625,1.0,0.07692307692307693,0.1527291531380077,0.7890030437073059,1.0,0.3076923076923077,0.1527291531380077,0.004880222090198261,1.0,0.6923076923076923,0.1527291531380077,0.47446635077800986,1.0,0.7692307692307693,0.2465140113487667
5minute,3.0,above,inside_bands,3475,0.003118277302793733,0.7882054533925175,0.019340519974635383,0.3877222833601638,0.044086118103026074,0.8926150552978951,0.06136282554405994,0.5004323851376301,0.08367470469768225,0.945193171608266,0.16756513926325248,0.6312054480456123,0.2816370233666224,0.976878612716763,0.3699421965317919,0.7274152335624873
5minute,3.0,below,above_upper,2,-3.065726319020768,0.5,0.0,1.8358090954646549,-4.109941205069157,0.5,0.0,1.9629672968296672,-3.2352463753870664,1.0,0.0,2.153188430964989,-1.7108998052160582,1.0,0.5,2.155263288837225
5minute,3.0,below,below_lower,3336,0.13912335452178226,0.7869285984132981,0.03286739705326785,0.3149379636628137,0.15466514137616363,0.8735529830810329,0.0761353517364203,0.45526212417086104,0.2482246387661239,0.9380421313506815,0.1734820322180917,0.59281797930357,0.2387924840465543,0.9754768392370572,0.3692098092643052,0.7282799239456907
5minute,3.0,below,inside_bands,4103,0.02500762020362728,0.7366120218579235,0.012021857923497269,0.33271981182483124,0.07651387987866566,0.8464640198511166,0.039081885856079406,0.45032838795435376,0.07601235118489286,0.9082457558609539,0.11843168957154405,0.6184378867052058,0.13290010921895357,0.9542151162790697,0.26308139534883723,0.7672995018865252
5minute,4.0,above,above_upper,1647,0.18157753968834112,0.8543771043771043,0.05723905723905724,0.3871409650881648,0.13810089132290507,0.9202518363064008,0.10388247639034627,0.456843611717397,0.3830778852083953,0.9623955431754875,0.24233983286908078,0.5044964814737886,0.5036058021150452,0.9768115942028985,0.4434782608695652,0.6009394296839915
5minute,4.0,above,below_lower,7,0.6477733494707391,1.0,0.0,0.0,1.396164236804269,1.0,0.2857142857142857,0.0,-0.17884478956578603,1.0,0.2857142857142857,0.0,0.013432428874549667,1.0,0.2857142857142857,0.0
5minute,4.0,above,inside_bands,919,0.06872854683287125,0.8004895960832313,0.01835985312117503,0.43456581483064777,0.19499814250630199,0.903448275862069,0.05931034482758621,0.565766508595707,0.34403603922851417,0.9414893617021277,0.16489361702127658,0.6903858048823243,0.6348816377757048,0.9722222222222222,0.36507936507936506,0.7998697273673646
5minute,4.0,below,below_lower,933,0.1290410114318711,0.7636122177954847,0.03054448871181939,0.4668001766538352,0.27334612078858417,0.8639876352395672,0.08500772797527048,0.6505334633951,0.30762785114293684,0.9238683127572016,0.14609053497942387,0.7819154000603136,-0.20698308355377934,0.9679144385026738,0.2727272727272727,1.0386501210662
