timeframe,threshold,direction,vol_bucket,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
1minute,1.5,below,low(<0.8x),86977,0.019363660888359224,0.7006527784323892,0.003758778338125088,0.11917441802521403,0.015566167015128323,0.8031621404890427,0.01146605067563524,0.18051302657627993,0.006393417816386827,0.8770095476523575,0.03234911518543063,0.26181113357053976,0.0012126257065803705,0.9286208743126575,0.07904601439337539,0.35940823875090694
1minute,1.5,below,normal(0.8-1.5x),54952,0.017317567063997,0.6784666315551877,0.004852907982845534,0.1257708899388019,0.01453210625948228,0.7874210434816202,0.015356680638992447,0.1872645332870245,0.00343193772291189,0.8668808435273282,0.03966390708019276,0.26872001686539204,-0.000660527081240264,0.9256297571583907,0.0953243928959768,0.36467741572046963
1minute,2.0,above,high(>1.5x),39757,0.0070879368963223735,0.6885027423240556,0.010149161925265262,0.21311916069950004,0.009612466350152811,0.8034635205483035,0.028696994271064955,0.29151554307828814,0.007023250637234095,0.8864523631530858,0.06985630035717252,0.3778392955006359,0.011885025480872387,0.9445976435196791,0.14521183253948358,0.4603396050784078
1minute,2.0,above,low(<0.8x),24491,0.022381727765509857,0.7267407594510398,0.0027363812410541384,0.17265052060690864,0.023655347520256484,0.8295073510446221,0.010016335654715845,0.25704259662584644,0.01931820503511037,0.9012493886443467,0.030501089324618737,0.35928291024806625,0.020545426074901223,0.9485764090644974,0.07577958551229905,0.4743654570139064
1minute,2.0,above,normal(0.8-1.5x),20134,0.016687720791118726,0.709284392350401,0.004729590787579683,0.19079070434627698,0.01472316359670546,0.8192949907235622,0.016061489530877285,0.2737320795969968,0.014826806650685727,0.8965261113015656,0.045709061821506115,0.37378157059703687,0.006318964527730883,0.9475032010243278,0.10915492957746478,0.48428676856490027
1minute,2.0,below,high(>1.5x),34804,0.056477637661944836,0.6584028535212098,0.005777790879344397,0.14685186866850986,0.0576021492163667,0.7689295039164491,0.013570951484607444,0.21245961218567488,0.05846947970566251,0.8564246733917645,0.03148668761369274,0.2936449152605511,0.06949362774192457,0.917169521382257,0.07218619991754432,0.3860110214294394
1minute,2.0,below,low(<0.8x),33766,0.029013266980710738,0.7065906596756493,0.0029874405560297527,0.1354689414674954,0.027061022740993593,0.8101438492063492,0.007564484126984127,0.20459302001828247,0.024123429775462318,0.8865128433934604,0.0214800178468991,0.2939440929707628,0.03727259661897745,0.937673082840439,0.056959212280761735,0.3962137418479587
1minute,2.0,below,normal(0.8-1.5x),23518,0.028962677351830432,0.6908834420737083,0.0034385469934755776,0.14490050618601868,0.03149720657654701,0.7966224804793899,0.009941892137279825,0.21468119358485308,0.03199957468951483,0.8768119478744693,0.02830787251696032,0.305652247652734,0.02570052756717077,0.9337568550795461,0.07227018515501982,0.4105958119408566
1minute,3.0,above,high(>1.5x),10374,0.010999980821168483,0.7138506876227898,0.00618860510805501,0.2798973631311219,0.015798476334567844,0.8291209344476891,0.022052159903332997,0.3797573079325341,0.017434407966575048,0.9087145969498911,0.05860566448801743,0.48122939337197035,-0.015001697562014056,0.9562507948620119,0.12565178684980288,0.5719944963174833
1minute,3.0,above,low(<0.8x),4922,0.03684437162718085,0.735680950360628,0.0021213406873143827,0.2312648592735363,0.02309837571727017,0.8369851007887817,0.0056967572304995615,0.3484858706167482,-0.010614983285818218,0.9042234018001385,0.018462958689129932,0.4941160124971054,0.0006945281141922243,0.9565217391304348,0.052123061276379355,0.6342017992264382
1minute,3.0,above,normal(0.8-1.5x),4869,0.015287772770190349,0.721868365180467,0.002760084925690021,0.26067658122098386,0.022955823774760103,0.8393290664312514,0.01015228426395939,0.3744413624268818,0.003265375094824006,0.9098660170523751,0.02874543239951279,0.49632727037949487,0.006999431229575927,0.9604207030168834,0.08081926376972046,0.6261684768909651
1minute,3.0,below,high(>1.5x),7352,0.11616237686792893,0.6832167832167833,0.004755244755244755,0.20266946036407643,0.12559258078129854,0.7846422847151392,0.01427946961969984,0.2921507987440664,0.16541846996767057,0.8687672567808998,0.03540685398733149,0.39671431156803927,0.17602253531592105,0.9318011958146487,0.07567264573991031,0.5159167456964581
1minute,3.0,below,low(<0.8x),5789,0.02111782646661894,0.6958408679927667,0.0012658227848101266,0.1916257124869258,0.027104666479007455,0.8076638282117734,0.004998148833765272,0.28347649057466157,0.029451507523782536,0.8868466398621482,0.01627417193183994,0.4066299877217594,0.021232477618315142,0.9358009201171058,0.044332915098285235,0.5609257111423743
1minute,3.0,below,normal(0.8-1.5x),4612,0.029979048419250066,0.6961400359066428,0.0008976660682226212,0.2047750101693117,0.034914450605721625,0.8045897079276774,0.004867872044506259,0.3033926084491649,0.04068205849648415,0.8799598191863385,0.020090406830738324,0.42588493739406763,0.04864613843522475,0.930365296803653,0.05251141552511415,0.575055488295065
1minute,4.0,above,high(>1.5x),3388,0.02956495337222457,0.7209443099273608,0.005447941888619854,0.34424508229693773,0.04234543447978927,0.8282923755513547,0.01984877126654064,0.4661665716343389,0.07568941188271773,0.9121574139142656,0.05165144061841181,0.5662697556318025,0.13770506027047635,0.9568496020108923,0.10599078341013825,0.6263189281459309
1minute,4.0,above,low(<0.8x),1299,0.0922022670130743,0.7434426229508196,0.001639344262295082,0.2735162950419079,0.08644847381705112,0.8421501706484642,0.004266211604095563,0.3874960453452099,0.08644623227754773,0.9058823529411765,0.015384615384615385,0.540102378091357,0.19450775113389793,0.9590818363273453,0.038922155688622756,0.6885821586272609
1minute,4.0,above,normal(0.8-1.5x),1447,0.035646794435781115,0.7279885468861846,0.0035790980672870437,0.3311241688679363,0.05821987287008818,0.8436555891238671,0.011329305135951661,0.4706001543395235,0.04976260924407234,0.9187339606501284,0.02480752780153978,0.5746571214686268,0.04126677039119549,0.9582118561710399,0.06316812439261418,0.7079723991094732
1minute,4.0,below,high(>1.5x),2085,0.17445088925418495,0.6848039215686275,0.006372549019607843,0.2737524138701139,0.21243751505997913,0.7813131313131313,0.016666666666666666,0.3820976016620481,0.24675448256280405,0.8678511937812327,0.038312048861743477,0.5088095926825127,0.32555522249243146,0.9368288060644346,0.08528111181301326,0.6567651024897445
1minute,4.0,below,low(<0.8x),1389,0.017871896335463596,0.6762264150943397,0.0007547169811320754,0.2403611029097385,0.01908290216719444,0.7802026500389712,0.004676539360872954,0.3628976129410063,0.01545922681080627,0.8557536466774717,0.01620745542949757,0.5316119966257895,0.028978597808755262,0.9231456657730116,0.03753351206434316,0.7332152584245339
1minute,4.0,below,normal(0.8-1.5x),1212,0.07401079263488852,0.6858594411515665,0.000846740050804403,0.2463585351372514,0.06541583259128497,0.8110720562390158,0.006151142355008787,0.37869346339214066,0.05445925196180055,0.8913043478260869,0.017958412098298678,0.5658833945934566,0.09020740888941496,0.9393617021276596,0.052127659574468084,0.744241817294886
