strategy_variant,timeframe,threshold,direction,target_pct,stop_pct,n_trades,win_rate_pct,avg_pnl_pct,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,expectancy_pct,sharpe_like,max_drawdown_pct,avg_bars_held,tp_rate_pct,sl_rate_pct,eod_rate_pct
nifty_filtered,15minute,1.5,above,1.0,0.5,33429.0,34.987585629244066,-0.014375013932157385,0.8546144202556293,-0.482037114068372,-480.54234073808925,0.954129708310324,-0.014375013932157385,-0.021665307246361683,-670.0002700702228,2.5593646235304677,27.021448442968683,61.64109007149481,11.33746148553651
nifty_filtered,15minute,1.5,above,1.5,0.5,33030.0,30.884044807750534,-0.0020900949967809185,1.0705615278566634,-0.48139795800996515,-69.03583774367374,0.9937182092242804,-0.0020900949967809185,-0.0026829019163630277,-463.63049207589705,3.2594913714804723,17.172267635482893,65.4072055706933,17.420526793823797
nifty_filtered,15minute,1.5,below,1.0,0.5,31869.0,32.49239072452853,-0.05474177448984283,0.8329148617191514,-0.4819837782057551,-1744.5656112168012,0.8317582715748298,-0.05474177448984283,-0.08500982829438136,-1761.825779406925,3.0274561486083655,24.23671906868744,64.00891148137688,11.754369449935673
nifty_filtered,15minute,1.5,below,1.5,0.5,31495.0,28.62359104619781,-0.04959919229377298,1.0253071030506955,-0.4806614811074022,-1562.1265612923798,0.8554291982046174,-0.04959919229377298,-0.06647235363610435,-1582.9424709269153,3.66737577393237,15.208763295761232,67.42022543260835,17.37101127163042
nifty_filtered,15minute,2.0,above,1.0,0.5,15063.0,33.851158467768705,-0.01892775725515593,0.8953338462971282,-0.48679406762379274,-285.1088075344138,0.9412197217195925,-0.01892775725515593,-0.028121564254207216,-330.69945938884575,2.001659695943703,28.26130252937662,63.69249153555069,8.046205935072695
nifty_filtered,15minute,2.0,above,1.5,0.5,14905.0,29.65447836296545,0.0070122753291177245,1.1765546232410673,-0.4860136834473074,104.51796378049968,1.0205103942600446,0.0070122753291177245,0.00867366461436703,-135.4907451835595,2.5347869842334787,19.664542099966454,67.60147601476014,12.7339818852734
nifty_filtered,15minute,2.0,below,1.0,0.5,12884.0,31.302390561937287,-0.06286202641858513,0.8691006039281761,-0.4875152055156915,-809.9143483770507,0.8123024575435813,-0.06286202641858513,-0.09655685172867788,-854.5030013515054,2.4463675877056814,25.03880782365725,66.24495498292455,8.716237193418193
nifty_filtered,15minute,2.0,below,1.5,0.5,12750.0,27.176470588235297,-0.05435438441991277,1.1047508031804152,-0.48691221694927583,-693.0184013538878,0.846710577924774,-0.05435438441991277,-0.07114984261987332,-762.5156632275863,2.9984313725490197,16.564705882352943,70.0549019607843,13.380392156862744
nifty_filtered,15minute,3.0,above,1.0,0.5,3677.0,31.54745716616807,-0.034694470663996044,0.9564524403601289,-0.4914804924311733,-127.57156863151346,0.8968748969826207,-0.034694470663996044,-0.05090363599120572,-138.73917375416463,1.438128909437041,29.208593962469404,67.09273864563502,3.6986673918955675
nifty_filtered,15minute,3.0,above,1.5,0.5,3656.0,27.707877461706783,0.01457746573041958,1.333097531013227,-0.49078039508361143,53.29521471041399,1.04108694466498,0.01457746573041958,0.017308824673365492,-40.63600026304759,1.737964989059081,22.592997811816193,70.70568927789934,6.701312910284464
nifty_filtered,15minute,3.0,below,1.0,0.5,2554.0,29.56147220046985,-0.0732537382603155,0.9275015909767036,-0.49324833168663534,-187.0900475168458,0.7891595682217596,-0.0732537382603155,-0.11090053816624813,-200.35735760964153,1.7623335943617855,26.15505090054816,69.10728269381362,4.7376664056382145
nifty_filtered,15minute,3.0,below,1.5,0.5,2517.0,24.71195868096941,-0.06177228901631279,1.2510852545715223,-0.4926943956715284,-155.4808514540593,0.8334709234758166,-0.06177228901631279,-0.07847530778235115,-175.60925226898328,2.11005164878824,18.19626539531188,73.7783075089392,8.025427095748908
nifty_filtered,15minute,4.0,above,1.0,0.5,1138.0,29.173989455184536,-0.0637662715227879,0.9741018766379553,-0.4912752357775853,-72.56601699293263,0.8167375992297742,-0.0637662715227879,-0.09482136095108008,-75.63795914506971,1.2548330404217927,28.031634446397184,69.33216168717048,2.6362038664323375
nifty_filtered,15minute,4.0,above,1.5,0.5,1133.0,26.21359223300971,0.0008415110979223401,1.384102634153658,-0.4905802036718785,0.9534320739460114,1.0023247350370796,0.0008415110979223401,0.000997323072629719,-28.48239894630136,1.442188879082083,22.859664607237423,72.10944395410415,5.030891438658429
nifty_filtered,15minute,4.0,below,1.0,0.5,740.0,26.216216216216214,-0.10827927345930331,0.9804826578555236,-0.4951287508861833,-80.12666235988445,0.7036081451509333,-0.10827927345930331,-0.16574348801200423,-81.79246768019873,1.518918918918919,25.135135135135133,72.97297297297297,1.891891891891892
nifty_filtered,15minute,4.0,below,1.5,0.5,732.0,22.131147540983605,-0.0764677917562641,1.3928955896088335,-0.49407633172318666,-55.97442356558532,0.8012437819981699,-0.0764677917562641,-0.09591528008578906,-64.24748775264038,1.7663934426229508,19.12568306010929,76.775956284153,4.098360655737705
nifty_filtered,1minute,1.5,above,1.0,0.5,88654.0,36.47663951993142,0.00749000062378147,0.860300388556135,-0.48221420999054565,664.0185153007225,1.0244516620609965,0.00749000062378147,0.011142657861446793,-374.06255302112993,29.0448146727728,28.568366909558506,60.21160917725089,11.220023913190607
nifty_filtered,1minute,1.5,above,1.5,0.5,86105.0,31.28970443063701,0.00888955026511979,1.0860781819890488,-0.48164703705983153,765.4347255781395,1.026861426975528,0.00888955026511979,0.011273086650348386,-465.4420415192287,41.122106730155046,18.023343592125894,65.0043551477847,16.972301260089427
nifty_filtered,1minute,1.5,below,1.0,0.5,81466.0,35.692190607124445,-0.016114654845765092,0.8151592866612454,-0.4774892257900347,-1312.796471665099,0.9475200133836477,-0.016114654845765092,-0.024692229537533993,-1582.4835586161246,36.17113888002357,25.829180271524315,60.1711143299045,13.999705398571184
nifty_filtered,1minute,1.5,below,1.5,0.5,79324.0,30.99440270283899,-0.019269248431457775,0.9997702717074797,-0.4769788038068079,-1528.5138625769566,0.9414561369128439,-0.019269248431457775,-0.025460035759764098,-1951.779686317944,47.27304472795119,16.196863496545813,64.46598759517926,19.337148908274923
nifty_filtered,1minute,2.0,above,1.0,0.5,44046.0,36.45279934613813,0.016940866444032823,0.8945835793126004,-0.48650434248121616,746.1774033938697,1.054796456310457,0.016940866444032823,0.02474327919019926,-204.74580216331503,20.172569586341552,30.36371066612178,61.04300049947782,8.593288834400399
nifty_filtered,1minute,2.0,above,1.5,0.5,42803.0,30.584304838445902,0.019464103137627524,1.165993106541376,-0.4856924391199947,833.1220065998709,1.057731837055099,0.019464103137627524,0.02395986700005035,-228.2999599159997,29.75660584538467,19.954208817138984,66.53505595402191,13.5107352288391
nifty_filtered,1minute,2.0,below,1.0,0.5,36992.0,36.09158737024221,-0.0006687188770876149,0.8518933374445578,-0.4821439531713344,-24.73724870122505,0.9978297546820221,-0.0006687188770876149,-0.0010008582069254473,-333.82768330108956,27.37743295847751,27.960099480968857,60.69420415224913,11.345696366782008
