timeframe,threshold,direction,adx_bucket,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
1minute,4.0,below,weak(<20),607,0.00995769552343065,0.5854483925549916,0.0,0.2125425307383388,0.00263870110814502,0.7152658662092625,0.0,0.31943997513092753,-0.019974437959572433,0.8238532110091743,0.003669724770642202,0.4675689000743777,-0.08111620565762946,0.8921775898520085,0.014799154334038054,0.669872436558315
5minute,1.5,above,moderate(20-40),45813,0.0002100637971531531,0.7641449147126775,0.055522784250110604,0.25447277086466485,-0.014053310726434969,0.8696284284396231,0.12483574244415244,0.3378522533713799,-0.019117309271507905,0.9386853817185895,0.2608695652173913,0.4276042888669434,0.013053377324131121,0.9792464347150547,0.5058542811164752,0.5092207438733773
5minute,1.5,above,strong(>40),29711,-0.004544590259785472,0.7742978973680341,0.04918394353771504,0.23840088637794637,-0.013129527175728952,0.8819306428716285,0.12163861285743256,0.3249643810696858,-0.01649164377238606,0.9482674949043968,0.265408133553334,0.42959372700577425,-0.019434997552085595,0.9797728333592656,0.5142368134432861,0.5656596493238331
5minute,1.5,above,weak(<20),6887,0.004923314633436389,0.7271685761047463,0.04271685761047463,0.2825802672607954,0.023196301134156785,0.8423738423738424,0.11264411264411264,0.3693283288405416,0.03443165697226769,0.921234454168586,0.24619990787655457,0.47626762224076913,0.04686753425594351,0.9742143432715552,0.47058823529411764,0.5601418922573279
5minute,1.5,below,moderate(20-40),55306,0.017101033950652936,0.722791135870233,0.031642977102363495,0.21859807474037604,0.009333148243877558,0.83541461402745,0.0814563618449694,0.3082343303227393,0.03463077682962213,0.9105031697983894,0.19390027985607403,0.41378530098329025,0.10353816877951787,0.9582790091264668,0.40562074460379544,0.5272627947755572
5minute,1.5,below,strong(>40),25070,0.02261610022483007,0.7389484697881246,0.034571453483302816,0.19668355398821027,0.02195478434290532,0.8524598078501424,0.08738473422488292,0.28018816068385394,0.03202052002687307,0.9240301724137931,0.20474137931034483,0.38572778989609113,0.06277714780865432,0.9645845495232536,0.4330609067912045,0.5256323172581499
5minute,1.5,below,weak(<20),13971,0.00761511531583428,0.6870592094472692,0.02722650483844514,0.2343384969700571,-0.004791402785640446,0.8010316875460575,0.06623065585851143,0.3356635652548752,0.002762710627673871,0.8817216981132076,0.16285377358490566,0.4631522004023036,0.11901801649057844,0.945864312267658,0.37685873605947956,0.5795835298462171
5minute,2.0,above,moderate(20-40),17965,0.003749285773698537,0.7834131194203648,0.04683658946823651,0.29533271068858197,-0.016843561098399063,0.8842752211062809,0.10748013791035826,0.3799886920346278,3.5582837231145834e-05,0.9479330435586794,0.23286784426153703,0.46797964625505173,0.03212517394590639,0.9820816453723902,0.46556559675911496,0.5521206404529752
5minute,2.0,above,strong(>40),16090,0.0025327797367179386,0.7965476439061738,0.043084847219322056,0.2659684067511463,-0.0052538571496610455,0.8996072270227808,0.10942655145326001,0.3577831783378499,-0.002968411151050109,0.9573951863354038,0.2452445652173913,0.4653702917346806,-0.027198236926373145,0.9813020567737549,0.4885262621111678,0.6124258092537815
5minute,2.0,above,weak(<20),2105,0.02386171063758581,0.7504069451980466,0.040151926207270754,0.3287627474710873,0.08567759731889037,0.8603174603174604,0.10857142857142857,0.41973767936792283,0.12964812959554742,0.9246309246309247,0.23543123543123542,0.5333165751123007,0.19374817050884355,0.9764359351988218,0.45508100147275404,0.592257962671013
5minute,2.0,below,moderate(20-40),21221,0.04181786257410994,0.7412027453971021,0.023205142172349928,0.24844097002871224,0.04846165735555532,0.8490949390469154,0.06316956039896564,0.34826517307373756,0.07731158986516896,0.9162155801365027,0.15478151721973799,0.46105760984677896,0.14608075832755354,0.9558048384916881,0.336937423976213,0.573135183513646
5minute,2.0,below,strong(>40),12870,0.051725929128368986,0.7789949573987133,0.024952182229177534,0.21593072461968074,0.07447837869260676,0.8839893459603433,0.0681661240998323,0.3037733613114051,0.10031299814151567,0.9443210037903542,0.17657822506861848,0.4233896526469492,0.2210160501979552,0.9748874674247808,0.41127694859038144,0.5555797209503213
5minute,2.0,below,weak(<20),4768,0.02385377451496451,0.7058247674987763,0.01908957415565345,0.2626845279715116,0.01802231811272255,0.8045404208194906,0.047619047619047616,0.37191944364107293,0.07457548101112615,0.882921589688507,0.1292517006802721,0.509117204375673,0.28352352100253253,0.948905109489051,0.31605839416058396,0.6302873030154812
5minute,3.0,above,moderate(20-40),3562,0.0473259112474811,0.8106779065683175,0.04390586582367404,0.3956882835197268,0.05282526556710563,0.9052854122621564,0.09217758985200845,0.46640383103690797,0.16321002772141965,0.9530666666666666,0.21813333333333335,0.5534085911475607,0.3617439493312454,0.9855072463768116,0.4121376811594203,0.5960909816370108
5minute,3.0,above,strong(>40),4642,-0.012286073376546821,0.8254047322540473,0.034869240348692404,0.3428681269927833,0.01734510136398315,0.9178478449522708,0.09401214926236622,0.43889767240811955,0.056579073389589944,0.9594001463057791,0.23555230431602048,0.5427797813291416,0.0844042323792136,0.9831460674157303,0.45786516853932585,0.6463316699444883
5minute,3.0,above,weak(<20),310,0.2437595206376111,0.8052434456928839,0.0449438202247191,0.32649713073889136,0.2153822949951821,0.8888888888888888,0.0811965811965812,0.47181184289263145,0.418112565702406,0.9468085106382979,0.19680851063829788,0.5982559186339399,0.5903582824184028,0.9894736842105263,0.4,0.6183463107764242
5minute,3.0,below,moderate(20-40),3854,0.05416721632587967,0.7429274292742928,0.01783517835178352,0.34352093032443937,0.0798560591960545,0.8437281009110021,0.04835318850735809,0.47498256421889967,0.11615616780446276,0.9067758071850841,0.12914961346066395,0.615760316277721,0.07487028729073425,0.9552609776304888,0.2593206296603148,0.7482078426421382
