strategy_variant,timeframe,nifty_regime_at_signal,target_pct,stop_pct,n_trades,win_rate_pct,avg_pnl_pct,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,expectancy_pct,sharpe_like,max_drawdown_pct,avg_bars_held,tp_rate_pct,sl_rate_pct,eod_rate_pct
baseline,1minute,strong_up,1.0,0.5,37628.0,35.86425002657595,0.0036442377581614926,0.8764904853253039,-0.48444510508850425,137.12537836410064,1.0117290261334648,0.0036442377581614926,0.00539148459290263,-414.5105143657453,26.086903369830978,29.05283299670458,61.22568300201977,9.721484001275646
baseline,1minute,strong_up,1.5,0.5,36469.0,30.258575776687046,0.004884938868258511,1.1310692240962885,-0.48373044162601336,178.14883558651965,1.01447987798532,0.004884938868258511,0.0061187524736458524,-447.4012428349811,36.302393813924155,18.994214264169567,66.41531163453892,14.590474101291509
baseline,5minute,neutral,1.0,0.5,147476.0,34.80430714150099,-0.016809653996672988,0.8562483127299639,-0.48288611233324596,-2479.0205328133457,0.9466056684748049,-0.016809653996672988,-0.025327799409832832,-2622.1124718325163,6.4704765521169545,27.091865795112426,61.959912121294316,10.948222083593262
baseline,5minute,neutral,1.5,0.5,143974.0,29.99083167794185,-0.014307227220425803,1.0777694841360934,-0.4821357933165927,-2059.8687318335847,0.957613146218143,-0.014307227220425803,-0.018424121171928046,-2408.1695024169735,8.500090294080875,17.2961784766694,66.38629196938336,16.317529553947242
baseline,5minute,strong_down,1.0,0.5,38542.0,36.37071246951378,0.0013955350310555972,0.8507508611249794,-0.4840987954690514,53.786711166944826,1.00453053698702,0.0013955350310555972,0.002084830819943334,-605.6124510930073,6.076436095687821,28.11218929998443,60.71558300036324,11.172227699652328
baseline,5minute,strong_down,1.5,0.5,37864.0,31.172089583773506,0.003457864377047209,1.0786502213153173,-0.4834956442735189,130.92857677251553,1.0103908435240918,0.003457864377047209,0.004388446355918638,-680.8971205114422,8.147052609338687,18.257447707585044,65.58208324529896,16.160469047115996
baseline,5minute,strong_up,1.0,0.5,26157.0,35.43219788202011,-0.004910017684836653,0.8674967232787122,-0.4836515462093302,-128.43133258227232,0.9842770341001783,-0.004910017684836653,-0.0073218986443459935,-405.9163727752417,5.775968192070956,28.19895247925985,61.551401154566655,10.249646366173492
baseline,5minute,strong_up,1.5,0.5,25646.0,30.54277470170787,0.003652325259415944,1.1110067972658315,-0.4832902211519833,93.66753360298131,1.0108803786388905,0.003652325259415944,0.004602613789275318,-349.0453072848754,7.824027138735086,18.66957810184824,66.16236450128675,15.16805739686501
nifty_filtered,15minute,neutral,1.0,0.5,89024.0,33.35055715312725,-0.03747948701716198,0.8532223536326051,-0.4831756755244527,-3336.573852215828,0.8836163288504604,-0.03747948701716198,-0.0571711168552255,-3503.917269488752,2.5141534867002155,25.777318475916605,63.439072609633364,10.783608914450037
nifty_filtered,15minute,neutral,1.5,0.5,88000.0,29.404545454545456,-0.025104686131403917,1.0723667605235323,-0.4822254631844451,-2209.212379563545,0.92625579157531,-0.025104686131403917,-0.03263129021444251,-2522.7608825214106,3.0954204545454544,16.68068181818182,67.01022727272728,16.30909090909091
nifty_filtered,15minute,strong_down,1.0,0.5,7675.0,32.69055374592834,-0.020427208854700816,0.9528166051073063,-0.49310795396323265,-156.77882795982876,0.938455251155302,-0.020427208854700816,-0.029733442153548235,-213.105849814532,2.308273615635179,30.136807817589577,66.11074918566774,3.7524429967426713
nifty_filtered,15minute,strong_down,1.5,0.5,7621.0,27.857236583125573,0.009530912486526993,1.3106883222464547,-0.49289854930327415,72.63508405982222,1.0268030470066964,0.009530912486526993,0.011383093537597424,-126.06625008479048,3.0724314394436427,21.99186458470017,70.79123474609631,7.216900669203516
nifty_filtered,15minute,strong_up,1.0,0.5,4655.0,30.612244897959183,-0.063186406700725,0.9062239434594385,-0.49086744353609124,-294.1327231918749,0.8144860414002824,-0.063186406700725,-0.09572155594877528,-295.45107088967694,3.117937701396348,26.337271750805584,67.56176154672396,6.100966702470462
nifty_filtered,15minute,strong_up,1.5,0.5,4597.0,26.016967587557104,-0.05227151823819965,1.192685149747079,-0.4900745687852132,-240.29216934100378,0.8558313539500406,-0.05227151823819965,-0.0667549355535744,-250.25767577381075,3.9060256689145096,18.12051337829019,71.85120730911464,10.02827931259517
nifty_filtered,1minute,neutral,1.0,0.5,251998.0,36.19155707584981,0.002068757983406037,0.8555871845051545,-0.4820389781271721,521.3228743023544,1.0067258841573623,0.002068757983406037,0.0030894901803743776,-1087.9106146866832,28.39364201303185,28.183160183810983,60.512385018928725,11.304454797260295
nifty_filtered,1minute,neutral,1.5,0.5,244856.0,30.91449668376515,0.0017630195741917788,1.081636367322499,-0.4814605139512034,431.68592085830215,1.0053004108350976,0.0017630195741917788,0.002243659712135831,-1129.924747536092,38.99931388244519,18.06081942039403,65.40415591204626,16.535024667559707
nifty_filtered,1minute,strong_down,1.0,0.5,15594.0,35.1994356803899,0.0030295459909347694,0.9069324509767809,-0.4879672917594174,47.242740182636794,1.0095809384340393,0.0030295459909347694,0.004432766668442577,-114.55952194545466,19.32070026933436,29.98589200974734,62.45350775939465,7.5606002308580225
nifty_filtered,1minute,strong_down,1.5,0.5,15194.0,29.491904699223376,0.00996312146099601,1.1993784477081024,-0.48754178630650924,151.3796674783734,1.028983084152543,0.00996312146099601,0.0122264324470033,-155.10794584792473,27.88317757009346,20.159273397393708,67.88864025273134,11.95208634987495
