timeframe,threshold,direction,target_pct,stop_pct,n_trades,win_rate_pct,avg_pnl_pct,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,expectancy_pct,sharpe_like,max_drawdown_pct,avg_bars_held,tp_rate_pct,sl_rate_pct,eod_rate_pct
1minute,2.0,above,0.5,0.3,62708.0,39.45110671684633,0.013036125282171369,0.48935858397928567,-0.29731551172980974,817.4693441944022,1.072414368546758,0.013036125282171369,0.03370057861091515,-102.32454820424334,7.151942335906105,38.06850800535817,59.74995215921414,2.1815398354276967
1minute,2.0,above,0.5,0.5,56179.0,50.37647519535769,0.0035365557108058923,0.48886905657236746,-0.48916001889580346,198.68016327736422,1.0145694092067343,0.0035365557108058923,0.00717291889371818,-276.8756338053556,10.100464586411292,48.569750262553626,48.04286299150928,3.387386745937094
1minute,2.0,below,0.3,0.3,65876.0,49.88311372882385,-0.0009844675899643187,0.2967471126242154,-0.29732726502804274,-64.85278695648945,0.9933933301240548,-0.0009844675899643187,-0.003302159868591195,-214.1734949931838,6.5019126844374275,48.944987552371124,49.47325277794645,1.5817596696824339
1minute,2.0,below,0.4,0.4,57412.0,50.163728837176905,0.00043149412072345146,0.3910491913209216,-0.39275282292686864,24.772940458974794,1.0022044996145858,0.00043149412072345146,0.0010927408443571539,-191.78577143273313,10.275935344527277,48.28084720964259,48.54211663066955,3.1770361596878702
1minute,2.0,below,0.5,0.3,58901.0,38.720904568683046,0.004992939420230149,0.48284571699326656,-0.2969516579673755,294.08912479097603,1.0274383629445265,0.004992939420230149,0.013024209688260393,-123.2675755224657,10.021289961121203,36.525695658817334,60.37928048759783,3.095023853584829
1minute,2.0,below,0.5,0.5,51145.0,50.161306090526935,7.341860865474547e-05,0.4814441304963968,-0.4844132668946807,3.754994739646957,1.0003041049354635,7.341860865474547e-05,0.0001500774873564944,-256.20171572438096,14.684289764395347,47.146348616678075,47.63906540228761,5.214585981034315
5minute,1.5,above,0.3,0.3,78188.0,46.70665575280094,-0.01964013678915832,0.29753038618844885,-0.2976105783312937,-1535.6230152707108,0.8761707705036231,-0.01964013678915832,-0.06594543191049355,-1538.7473174739341,1.9368573182585562,46.07228730751522,52.65769683327365,1.2700158592111321
5minute,1.5,above,0.4,0.4,74355.0,47.94835586039943,-0.016349941862021686,0.3927680715507701,-0.393216732916794,-1215.6999271506224,0.9201178454033092,-0.016349941862021686,-0.04136671265473867,-1230.9301799977054,2.7227758725035303,46.55235021182166,50.745746755430034,2.701903032748302
5minute,1.5,above,0.5,0.3,74884.0,37.63020137813151,-0.0026120254018369565,0.484947217397397,-0.296776074279679,-195.59891019115864,0.9858884678815364,-0.0026120254018369565,-0.006840163893517111,-431.99113629747535,2.74879814112494,35.81806527429091,61.37626195181881,2.8056727738902834
5minute,1.5,above,0.5,0.5,70460.0,48.753902923644624,-0.012688229083165706,0.4840926596439892,-0.48530972818461754,-894.0126211998556,0.9489822596433013,-0.012688229083165706,-0.025886157732583907,-945.6792151606473,3.6897104740278173,46.29435140505252,49.026397956287255,4.679250638660233
5minute,1.5,below,0.3,0.3,86047.0,45.79009146164306,-0.025480705479996618,0.29651028915823785,-0.2974604503614672,-2192.538264437269,0.8419830982188689,-0.025480705479996618,-0.08578787650373566,-2200.8709470350036,2.3886131997629203,44.87547503108766,53.527723221030364,1.5968017478819714
