symbol,entry_time,exit_time,entry_price,exit_price,qty,notional,gross_pnl,cost,net_pnl,exit_reason
FACT,2025-03-03 11:21:00+05:30,2025-03-03 11:37:00+05:30,604.75,601.72625,180,108855.0,-544.274999999991,54.4275,-598.702499999991,SL
TARIL,2025-03-03 11:26:00+05:30,2025-03-03 11:30:00+05:30,362.0,360.19,300,108600.0,-543.0000000000008,54.300000000000004,-597.3000000000008,SL
ANANTRAJ,2025-03-03 11:32:00+05:30,2025-03-03 11:34:00+05:30,420.45,426.75674999999995,259,108896.55,1633.448249999991,54.448275,1578.999974999991,TP
FACT,2025-03-03 11:38:00+05:30,2025-03-03 11:39:00+05:30,601.8,598.7909999999999,181,108925.79999999999,-544.6290000000026,54.4629,-599.0919000000026,SL
JPPOWER,2025-03-03 11:38:00+05:30,2025-03-03 11:43:00+05:30,12.49,12.42755,8726,108987.74,-544.9387000000011,54.49387,-599.4325700000011,SL
JPPOWER,2025-03-03 11:44:00+05:30,2025-03-03 11:49:00+05:30,12.44,12.377799999999999,8752,108874.87999999999,-544.3744000000061,54.437439999999995,-598.8118400000061,SL
CLEAN,2025-03-03 11:44:00+05:30,2025-03-03 12:19:00+05:30,1108.65,1125.27975,98,108647.70000000001,1629.7154999999834,54.32385000000001,1575.3916499999834,TP
BLS,2025-03-03 11:49:00+05:30,2025-03-03 11:53:00+05:30,311.1,309.5445,349,108573.90000000001,-542.8694999999983,54.286950000000004,-597.1564499999984,SL
ANGELONE,2025-03-03 11:55:00+05:30,2025-03-03 12:14:00+05:30,195.2,198.12799999999996,557,108726.4,1630.8959999999827,54.3632,1576.5327999999827,TP
JUBLINGREA,2025-03-03 11:55:00+05:30,2025-03-03 12:32:00+05:30,558.8,567.1819999999999,194,108407.2,1626.1079999999902,54.2036,1571.9043999999901,TP
LLOYDSME,2025-03-03 11:58:00+05:30,2025-03-03 12:22:00+05:30,945.75,959.9362499999999,114,107815.5,1617.232499999984,53.90775,1563.3247499999839,TP
MAPMYINDIA,2025-03-03 11:59:00+05:30,2025-03-03 12:11:00+05:30,1555.65,1547.87175,69,107339.85,-536.6992500000049,53.669925000000006,-590.3691750000049,SL
ACUTAAS,2025-03-03 12:00:00+05:30,2025-03-03 12:00:00+05:30,1025.2,1020.0740000000001,106,108671.20000000001,-543.3559999999975,54.33560000000001,-597.6915999999975,SL
JPPOWER,2025-03-03 12:04:00+05:30,2025-03-03 12:23:00+05:30,12.41,12.59615,8759,108699.19,1630.4878499999963,54.349595,1576.1382549999964,TP
ACUTAAS,2025-03-03 12:06:00+05:30,2025-03-03 12:23:00+05:30,1022.8,1038.1419999999998,106,108416.79999999999,1626.2519999999863,54.2084,1572.0435999999863,TP
BLS,2025-03-03 12:06:00+05:30,2025-03-03 12:18:00+05:30,309.55,314.19325,351,108652.05,1629.7807499999883,54.326025,1575.4547249999882,TP
TTML,2025-03-03 12:12:00+05:30,2025-03-03 12:21:00+05:30,54.0,54.809999999999995,2011,108594.0,1628.9099999999903,54.297000000000004,1574.6129999999903,TP
ABREL,2025-03-03 12:21:00+05:30,2025-03-03 12:48:00+05:30,1832.4,1841.562,59,108111.6,-540.5579999999886,54.055800000000005,-594.6137999999886,SL
WELCORP,2025-03-03 12:29:00+05:30,2025-03-03 13:33:00+05:30,679.25,675.85375,161,109359.25,-546.7962500000015,54.679625,-601.4758750000015,SL
ABREL,2025-03-03 12:49:00+05:30,2025-03-03 12:55:00+05:30,1844.6,1853.8229999999996,59,108831.4,-544.156999999984,54.4157,-598.572699999984,SL
ACE,2025-03-03 12:51:00+05:30,2025-03-03 13:02:00+05:30,1018.5,1003.2225,107,108979.5,1634.6925000000033,54.48975,1580.2027500000033,TP
ABREL,2025-03-03 13:01:00+05:30,2025-03-03 13:01:00+05:30,1847.75,1856.9887499999998,59,109017.25,-545.0862499999855,54.508625,-599.5948749999856,SL
CRAFTSMAN,2025-03-03 13:05:00+05:30,2025-03-03 13:05:00+05:30,4531.7,4554.358499999999,24,108760.79999999999,-543.8039999999891,54.380399999999995,-598.1843999999891,SL
ZENTEC,2025-03-03 13:05:00+05:30,2025-03-03 13:05:00+05:30,1055.3,1060.5765,104,109751.2,-548.755999999994,54.8756,-603.6315999999939,SL
NAVINFLUOR,2025-03-03 13:08:00+05:30,2025-03-03 13:12:00+05:30,3799.95,3818.9497499999993,28,106398.59999999999,-531.9929999999858,53.199299999999994,-585.1922999999858,SL
VBL,2025-03-03 13:11:00+05:30,2025-03-03 13:11:00+05:30,451.8,454.05899999999997,242,109335.6,-546.6779999999898,54.66780000000001,-601.3457999999898,SL
SUPREMEIND,2025-03-03 13:15:00+05:30,2025-03-03 13:38:00+05:30,3500.0,3517.4999999999995,31,108500.0,-542.4999999999859,54.25,-596.7499999999859,SL
DIXON,2025-03-03 13:17:00+05:30,2025-03-03 13:17:00+05:30,14304.15,14375.670749999997,7,100129.05,-500.6452499999851,50.064525,-550.709774999985,SL
PCBL,2025-03-03 13:20:00+05:30,2025-03-03 14:18:00+05:30,360.45,355.04325,304,109576.8,1643.6519999999966,54.7884,1588.8635999999967,TP
ZENTEC,2025-03-03 13:22:00+05:30,2025-03-03 13:25:00+05:30,1064.7,1070.0235,102,108599.40000000001,-542.9969999999967,54.29970000000001,-597.2966999999967,SL
ZENTEC,2025-03-03 13:26:00+05:30,2025-03-03 13:27:00+05:30,1070.85,1076.2042499999998,102,109226.7,-546.1334999999863,54.61335,-600.7468499999862,SL
NAVINFLUOR,2025-03-03 13:30:00+05:30,2025-03-03 14:01:00+05:30,3808.5,3751.3725,28,106638.0,1599.5700000000015,53.319,1546.2510000000016,TP
WELCORP,2025-03-03 13:34:00+05:30,2025-03-03 13:39:00+05:30,673.5,683.6025,162,109107.0,1636.6049999999943,54.5535,1582.0514999999943,TP
ZENTEC,2025-03-03 13:39:00+05:30,2025-03-03 13:51:00+05:30,1068.85,1074.1942499999998,102,109022.7,-545.1134999999872,54.51135,-599.6248499999872,SL
KIMS,2025-03-03 13:43:00+05:30,2025-03-03 15:13:00+05:30,517.35,519.93675,211,109160.85,-545.804249999987,54.580425000000005,-600.3846749999869,SL
