symbol,entry_time,exit_time,entry_price,exit_price,qty,notional,gross_pnl,cost,net_pnl,exit_reason
FLUOROCHEM,2025-01-29 13:24:00+05:30,2025-01-29 13:25:00+05:30,3590.0,3536.15,27,96930.0,1453.9499999999975,77.544,1376.4059999999974,TP
AMBER,2025-01-29 13:33:00+05:30,2025-01-29 14:16:00+05:30,6541.75,6639.876249999999,15,98126.25,1471.8937499999902,78.501,1393.3927499999902,TP
JWL,2025-01-29 13:39:00+05:30,2025-01-29 14:04:00+05:30,370.25,368.39875,265,98116.25,-490.58124999999825,78.49300000000001,-569.0742499999983,SL
KPITTECH,2025-01-29 13:39:00+05:30,2025-01-29 13:42:00+05:30,1398.65,1377.6702500000001,70,97905.5,1468.5824999999975,78.3244,1390.2580999999975,TP
ONESOURCE,2025-01-29 13:46:00+05:30,2025-01-29 14:07:00+05:30,1601.0,1576.985,61,97661.0,1464.915000000006,78.1288,1386.7862000000061,TP
PPLPHARMA,2025-01-29 13:53:00+05:30,2025-01-29 14:09:00+05:30,227.25,228.38625,432,98172.0,-490.8599999999956,78.5376,-569.3975999999956,SL
BRIGADE,2025-01-29 13:54:00+05:30,2025-01-29 13:54:00+05:30,845.35,849.57675,116,98060.6,-490.3029999999913,78.44848,-568.7514799999913,SL
INOXWIND,2025-01-29 13:57:00+05:30,2025-01-29 14:12:00+05:30,156.24,157.0212,628,98118.72,-490.59359999999,78.49497600000001,-569.08857599999,SL
PGEL,2025-01-29 13:58:00+05:30,2025-01-29 13:58:00+05:30,718.45,722.04225,136,97709.20000000001,-488.54599999998936,78.16736000000002,-566.7133599999894,SL
FSL,2025-01-29 14:05:00+05:30,2025-01-29 14:05:00+05:30,343.05,344.76525,286,98112.3,-490.56149999999116,78.48984,-569.0513399999911,SL
JWL,2025-01-29 14:05:00+05:30,2025-01-29 14:36:00+05:30,368.65,366.80674999999997,266,98060.9,-490.30450000000315,78.44872,-568.7532200000031,SL
ACUTAAS,2025-01-29 14:10:00+05:30,2025-01-29 14:17:00+05:30,1107.7,1113.2385,88,97477.6,-487.3879999999899,77.98208000000001,-565.3700799999899,SL
JMFINANCIL,2025-01-29 14:12:00+05:30,2025-01-29 14:12:00+05:30,104.02,104.54009999999998,943,98090.86,-490.45429999998595,78.472688,-568.926987999986,SL
PPLPHARMA,2025-01-29 14:14:00+05:30,2025-01-29 14:21:00+05:30,226.85,227.98424999999997,432,97999.2,-489.9959999999914,78.39936,-568.3953599999913,SL
DEEPAKFERT,2025-01-29 14:46:00+05:30,2025-01-29 14:49:00+05:30,1295.0,1275.575,75,97125.0,1456.8749999999966,77.7,1379.1749999999965,TP
APARINDS,2025-01-29 14:47:00+05:30,2025-01-29 14:48:00+05:30,7269.35,7305.696749999999,13,94501.55,-472.5077499999843,75.60124,-548.1089899999843,SL
GRAVITA,2025-01-29 14:48:00+05:30,2025-01-29 15:04:00+05:30,2082.0,2092.41,47,97854.0,-489.26999999999316,78.28320000000001,-567.5531999999931,SL
PREMIERENE,2025-01-29 14:54:00+05:30,2025-01-29 14:57:00+05:30,939.4,944.0969999999999,104,97697.59999999999,-488.48799999998846,78.15808,-566.6460799999885,SL
PPLPHARMA,2025-01-29 14:56:00+05:30,2025-01-29 15:03:00+05:30,235.9,237.07949999999997,415,97898.5,-489.49249999998415,78.31880000000001,-567.8112999999842,SL
JWL,2025-01-29 14:56:00+05:30,2025-01-29 14:57:00+05:30,367.95,366.11025,266,97874.7,-489.3734999999949,78.29976,-567.6732599999949,SL
ZFCVINDIA,2025-01-29 14:59:00+05:30,2025-01-29 14:59:00+05:30,1818.0,1827.09,53,96354.0,-481.76999999999566,77.0832,-558.8531999999957,SL
NUVAMA,2025-01-29 15:00:00+05:30,2025-01-29 15:29:00+05:30,1106.0,1097.0,88,97328.0,792.0,77.86240000000001,714.1376,EOD
ONESOURCE,2025-01-29 15:02:00+05:30,2025-01-29 15:05:00+05:30,1607.5,1615.5375,60,96450.0,-482.2499999999946,77.16000000000001,-559.4099999999946,SL
DEEPAKFERT,2025-01-29 15:03:00+05:30,2025-01-29 15:11:00+05:30,1304.65,1311.17325,75,97848.75,-489.24374999999714,78.27900000000001,-567.5227499999971,SL
JWL,2025-01-29 15:03:00+05:30,2025-01-29 15:08:00+05:30,366.2,364.36899999999997,267,97775.4,-488.87700000000456,78.22032,-567.0973200000045,SL
PREMIERENE,2025-01-29 15:04:00+05:30,2025-01-29 15:29:00+05:30,942.75,940.0,103,97103.25,283.25,77.68260000000001,205.5674,EOD
ABSLAMC,2025-01-29 15:06:00+05:30,2025-01-29 15:16:00+05:30,641.9,645.1094999999999,152,97568.8,-487.84399999999005,78.05504,-565.89903999999,SL
PPLPHARMA,2025-01-29 15:08:00+05:30,2025-01-29 15:15:00+05:30,238.15,239.34074999999999,410,97641.5,-488.2074999999918,78.1132,-566.3206999999918,SL
PGEL,2025-01-29 15:08:00+05:30,2025-01-29 15:10:00+05:30,724.0,727.6199999999999,134,97016.0,-485.0799999999854,77.61280000000001,-562.6927999999854,SL
GMDCLTD,2025-01-29 15:10:00+05:30,2025-01-29 15:10:00+05:30,320.95,322.55474999999996,304,97568.8,-487.84399999999005,78.05504,-565.89903999999,SL
DEEPAKFERT,2025-01-29 15:12:00+05:30,2025-01-29 15:20:00+05:30,1308.7,1289.0695,74,96843.8,1452.6569999999988,77.47504,1375.1819599999988,TP
GVT&D,2025-01-29 15:13:00+05:30,2025-01-29 15:15:00+05:30,1656.0,1664.2799999999997,58,96048.0,-480.2399999999853,76.83840000000001,-557.0783999999853,SL
IKS,2025-01-29 15:14:00+05:30,2025-01-29 15:15:00+05:30,1736.0,1744.6799999999998,56,97216.0,-486.07999999999083,77.7728,-563.8527999999908,SL
ONESOURCE,2025-01-29 15:14:00+05:30,2025-01-29 15:22:00+05:30,1612.0,1587.82,60,96720.0,1450.8000000000038,77.376,1373.4240000000038,TP
IKS,2025-01-29 15:16:00+05:30,2025-01-29 15:16:00+05:30,1743.95,1752.6697499999998,55,95917.25,-479.5862499999862,76.7338,-556.3200499999862,SL
SCHNEIDER,2025-01-29 15:16:00+05:30,2025-01-29 15:29:00+05:30,655.8,658.0,148,97058.4,325.60000000000673,77.64672,247.9532800000067,EOD
APARINDS,2025-01-29 15:17:00+05:30,2025-01-29 15:29:00+05:30,7261.65,7232.85,13,94401.45,374.39999999999054,75.52116,298.87883999999053,EOD
PGEL,2025-01-29 15:17:00+05:30,2025-01-29 15:18:00+05:30,723.75,727.36875,134,96982.5,-484.912499999997,77.586,-562.498499999997,SL
CAMS,2025-01-29 15:20:00+05:30,2025-01-29 15:29:00+05:30,800.9,794.0,121,96908.9,834.8999999999971,77.52712,757.3728799999972,EOD
360ONE,2025-01-29 15:23:00+05:30,2025-01-29 15:28:00+05:30,1038.3,1022.7254999999999,93,96561.9,1448.4285000000054,77.24952,1371.1789800000054,TP
ONESOURCE,2025-01-29 15:29:00+05:30,2025-01-29 15:29:00+05:30,1575.0,1582.8749999999998,62,97650.0,-488.24999999998585,78.12,-566.3699999999858,SL
LEMONTREE,2025-01-29 15:29:00+05:30,2025-01-29 15:29:00+05:30,142.5,143.21249999999998,686,97755.0,-488.7749999999844,78.20400000000001,-566.9789999999844,SL
