timeframe,threshold,direction,nifty_regime,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
1minute,1.5,above,neutral,145966,0.013309711365486592,0.6870046652801979,0.00776375695576415,0.16340290947778063,0.011716643138291183,0.7991797685826947,0.02309145364830603,0.23452672508534209,0.00013042381830985437,0.8798916021709593,0.05666864345071427,0.32117862934339875,-0.0057136713697212675,0.9356586605459464,0.12524797114517583,0.4168823218920109
1minute,1.5,above,strong_down,16072,0.0055142354552945826,0.6969179165875578,0.02202392253654832,0.17939967511003355,0.008532476474525643,0.8042259872447336,0.05553050312439606,0.2556674490725458,0.004243318121564254,0.8796820264079763,0.11486122338992186,0.3479890232470292,-0.025053810459531915,0.9322122571001494,0.19902840059790733,0.4551443194726821
1minute,1.5,above,strong_up,29087,0.014679879569765599,0.7039817575863884,0.013155586739168567,0.15741448641128097,0.005396136874694156,0.8109784187958468,0.031857968035720614,0.22582384734816047,0.008213209944569108,0.8892758936755271,0.07050412465627864,0.3072622186992439,0.0062572667854919745,0.9450482104919105,0.145285177316555,0.39457551641867594
1minute,1.5,below,neutral,161364,0.024356658383604898,0.6665309290813535,0.004199381545626916,0.12131469116918181,0.01863477677825752,0.7730307337236443,0.011774523738117902,0.1812576047786727,0.006235803913868172,0.854530255377173,0.031033088713932344,0.26041761071673425,-0.0028547872783286523,0.9150528365263142,0.0761039192663823,0.356790507990328
1minute,1.5,below,strong_down,46724,0.027803586542988826,0.6861403240264994,0.00684347464853401,0.1264864133717006,0.033804969349050994,0.7975824762922399,0.018699078402564445,0.18505518370074805,0.04263235100465918,0.8813499612485027,0.04506916555109326,0.2554748718958564,0.05722642911538612,0.9376441602013,0.10369050115328161,0.33313109373496214
1minute,1.5,below,strong_up,14464,0.03615274224115799,0.6860241135763715,0.015053149746736107,0.133780591521444,0.04179767408816908,0.7878677806029786,0.03661460225208863,0.1946578179486504,0.031771558019876286,0.860849598163031,0.07738231917336395,0.27895122958809415,0.026657099971700467,0.9134224779959377,0.13642518618821936,0.37853549554436366
1minute,2.0,above,neutral,64694,0.014298756392131353,0.702075992762594,0.005189981906485097,0.19628358151982422,0.015069863694214689,0.813420328999821,0.017670316796563564,0.27769666661758374,0.0076969385266994275,0.8915061898211829,0.047867950481430534,0.3722619608581626,0.010599561675399603,0.9454105174846509,0.10887388933379094,0.47136665594689825
1minute,2.0,above,strong_down,6866,0.013569587743290507,0.7164711124313085,0.01856527550868855,0.21208144225952127,0.01113850920971859,0.8197965689995446,0.04493699711553059,0.29980958250385487,0.016895641695506874,0.8934873275585499,0.09865255052935515,0.4047668209741278,-0.009862572166367026,0.9457038391224862,0.17879341864716636,0.5125466391639125
1minute,2.0,above,strong_up,12846,0.011833447305202553,0.7102885922136062,0.008553841234311296,0.18719272749207036,0.015279230514300546,0.8185209211806682,0.021083360363282518,0.2642985972610377,0.03138885117324335,0.9009369676320272,0.052896081771720616,0.35128522651272615,0.03541303105341857,0.9520987174504469,0.11931597357170617,0.4443437341890934
1minute,2.0,below,neutral,66664,0.036525940621908386,0.6788168970576879,0.0036296239091821764,0.14003537300262406,0.030711530992825916,0.7846302668929098,0.008563408871057264,0.20796080213430146,0.022005123337597993,0.8676095135716205,0.022473797366299383,0.29609272271018316,0.02709879121895729,0.9254594525125305,0.05827381717370151,0.3983948045520168
