timeframe,threshold,direction,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
1minute,2.0,above,84406,0.01386411915011893,0.7045034529715009,0.006796517848458321,0.19619421160599296,0.014779810192459518,0.814725422379258,0.020428475453482295,0.2774532266917078,0.012103481858519264,0.893122652165918,0.05280163921506817,0.3716888717882005,0.01270272193114831,0.9464432324654,0.11605676753460005,0.4705915943333887
1minute,2.0,below,92103,0.03933531460932534,0.6843311788517881,0.004182228881980632,0.14228720656872024,0.03955286443713949,0.791155129130988,0.01050013182479911,0.2103033451730033,0.0384447878961884,0.8729982829377595,0.026937175006393317,0.29701054649603054,0.04592502584097212,0.9293321857938194,0.06631075011430569,0.39640422226745614
1minute,3.0,above,20174,0.018218147262696393,0.7209503900474176,0.00448681996634885,0.26373757864040176,0.018961582485511684,0.8333596007354872,0.015445232466509062,0.3711323782670612,0.006948895010461079,0.90775514835196,0.04198105179554093,0.48801075774646535,-0.006016285983095409,0.9572577506810221,0.09657543131404851,0.6006904554430731
1minute,3.0,below,17756,0.06287057083638825,0.6905303693331,0.002625590757920532,0.19984487201035311,0.06960558160616402,0.7971897237968882,0.008804728018333133,0.2924311682022488,0.08641210855127737,0.8776439960950212,0.024926781646599415,0.4078679637754398,0.08876635184209158,0.9327761894289275,0.05879334359651052,0.5471113998348709
1minute,4.0,above,6144,0.043933233617020014,0.727533299612207,0.004383746417130332,0.3266579957568951,0.05426322675593441,0.8350352112676056,0.014788732394366197,0.45080724382446036,0.06999458181868848,0.9124756335282651,0.03781676413255361,0.5625966157004004,0.12617497047218926,0.9577687443541102,0.08084914182475159,0.6595651490215646
1minute,4.0,below,4690,0.10203287487071086,0.6821978021978022,0.0032967032967032967,0.2575318241895983,0.11652772847021123,0.788422247446084,0.010442678774120319,0.37632756293029607,0.12589067430443443,0.8701488894312912,0.026360751769587503,0.5312578362543331,0.17334016916098557,0.9330773450356555,0.06253428414701043,0.7035649432452573
5minute,1.5,above,82491,-0.001582258883041754,0.7647813174946004,0.05221382289416847,0.25124986258650456,-0.011032246027135388,0.8719316644627848,0.12288541334184487,0.33603110184104884,-0.014436879447431624,0.9408164017847266,0.26171687746598327,0.4329228244700471,0.001248403561395352,0.9789454795585728,0.5065047701647876,0.5364592951987482
5minute,1.5,below,94406,0.017324425295114604,0.7219729340490615,0.03185069688277373,0.21510038493819636,0.011094097101892157,0.83508921098431,0.08093422433606569,0.3046834604694236,0.029703660278645842,0.9102072650636398,0.1925955427224905,0.4131896715590323,0.09277091867698069,0.9585572842998585,0.41001414427157,0.5341082649091852
5minute,2.0,above,36221,0.003324694203336594,0.7871978316366731,0.044817044344290714,0.2847566511963681,-0.007253258596800856,0.8896708531831962,0.10863288580915259,0.3733531359264122,0.004115915595789204,0.9507233474293345,0.2387714222123303,0.4725306187656802,0.006020662761644386,0.9810597346829231,0.47465685146844566,0.5863335538657961
5minute,2.0,below,38897,0.043322929357069564,0.7496468926553672,0.023334510357815443,0.23938164277024512,0.05437117079475813,0.855572946152053,0.06310566452429318,0.3363143029416488,0.08542478142963524,0.9214344138792028,0.1591975547806621,0.4548552406431811,0.1838292999618597,0.961083819465766,0.3590727663494013,0.5755127556109167
