timeframe,threshold,direction,rsi_bucket,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
15minute,3.0,below,neutral(30-70),1896,-0.013051132664704415,0.7383820998278829,0.03442340791738382,0.5186815567574838,-0.23831184744482192,0.8366533864541833,0.09561752988047809,0.7158369084158656,-0.33783344440218865,0.9477611940298507,0.26865671641791045,0.7712872558422079,,,,
15minute,3.0,below,overbought(>70),17,0.10774596551856318,0.9090909090909091,0.18181818181818182,0.3485883931195517,-1.309565159824777,0.9,0.2,1.1169344247974293,-3.2418715810119845,1.0,0.3333333333333333,1.8788832857759263,,,,
15minute,3.0,below,oversold(<30),1906,0.3406633442955127,0.8723404255319149,0.13584288052373159,0.3418435420272934,0.34793411049535156,0.9378612716763006,0.2832369942196532,0.4877723785611954,0.3753045661454056,0.9699248120300752,0.5864661654135338,0.5974436174657284,,,,
15minute,4.0,above,neutral(30-70),290,-0.14136623526388384,0.7929292929292929,0.04040404040404041,0.5995301726234308,-0.14916232054941603,0.926829268292683,0.12195121951219512,0.7352292266844922,0.01361198162907895,1.0,0.3333333333333333,0.5378486965306449,,,,
15minute,4.0,above,overbought(>70),1038,0.42982792800981917,0.9057301293900185,0.14602587800369685,0.2841062784262074,0.5066560900515401,0.949685534591195,0.2830188679245283,0.38059043629653944,0.6547731862348527,0.925,0.6,0.43292741327013584,,,,
15minute,4.0,above,oversold(<30),2,0.6229962477603878,1.0,0.0,0.0,-1.9874431136897823,1.0,0.0,1.22822710762332,0.8558139534883763,1.0,0.0,0.0,,,,
15minute,4.0,below,neutral(30-70),514,0.08432519764662463,0.7704402515723271,0.0220125786163522,0.51918562325957,-0.21498897849884283,0.8461538461538461,0.09230769230769231,0.7511309212712128,1.0767977500487127,1.0,0.3333333333333333,0.2672635026102311,,,,
15minute,4.0,below,overbought(>70),8,-0.10686184012049252,0.4,0.2,0.9113340020301687,-0.3589917315019776,1.0,0.2,1.1676116963006002,1.9863165364142432,1.0,1.0,0.2428176551333694,,,,
15minute,4.0,below,oversold(<30),539,0.5181502429674237,0.8778409090909091,0.13920454545454544,0.38456626126267834,0.7933248051929073,0.9504504504504504,0.26126126126126126,0.48650500161051835,-0.2177223911700965,0.9545454545454546,0.4772727272727273,0.5888586285132754,,,,
1minute,1.5,above,neutral(30-70),115261,0.014457524615331362,0.6836645653025608,0.006384229084303879,0.15485446807986955,0.010821944465484333,0.7939883698708673,0.018491723315769835,0.22965545408148258,-0.0006979898243657521,0.8731808137762878,0.045546327339225846,0.3250579232076921,-0.010115975331159852,0.9307759772803208,0.10470263949214835,0.4360544216443076
1minute,1.5,above,overbought(>70),75684,0.011302460399606586,0.7005988023952096,0.014417111722500944,0.17686404469172093,0.011595768416155661,0.8126517344013606,0.03974926961745786,0.2422161290567529,0.0067067707916449604,0.893576386414492,0.09021849122757009,0.31454066970382455,0.0031724500305682158,0.9458833471572325,0.1782187514671591,0.3861487778219213
1minute,1.5,above,oversold(<30),148,-0.4102166037837538,0.7191780821917808,0.2328767123287671,0.3996202986754879,-0.6975574473978244,0.7931034482758621,0.2413793103448276,0.5492179810584813,-0.34585265358245504,0.8689655172413793,0.35172413793103446,0.6549357915512068,-0.3993521542217504,0.9424460431654677,0.4748201438848921,0.7636918764588327
1minute,1.5,below,neutral(30-70),154490,0.01845353573024619,0.6679788893683407,0.004022969429415475,0.12251992537407864,0.01466478700530447,0.7745694986204928,0.011776778069233593,0.1845578173423435,0.0046279592789475,0.8554530974336264,0.031256473075576954,0.2675862288126474,0.0010326290177217355,0.9152073732718894,0.0758806529719597,0.36805268934217966
1minute,1.5,below,overbought(>70),161,-0.11840950507562319,0.7267080745341615,0.062111801242236024,0.3453228100355179,-0.19387759606057936,0.7848101265822784,0.12025316455696203,0.48939172108535256,-0.3538709326494403,0.8157894736842105,0.14473684210526316,0.6877970157123964,-0.2312297548072167,0.8785714285714286,0.25,0.7904645065386939
1minute,1.5,below,oversold(<30),67882,0.04320409254470959,0.6807503214582861,0.008562135995764315,0.12410117553024715,0.04394334053786569,0.789675306620532,0.021502054434798728,0.17818759937011855,0.041909278028332136,0.8724658448812103,0.04974678803471691,0.24316249724136849,0.035931016960461554,0.9297541929186263,0.10739196024491969,0.3182366385439419
1minute,2.0,above,neutral(30-70),46038,0.013733813351375005,0.6926188294710496,0.0035308051576571544,0.18555168823634757,0.012203192969655831,0.8016311195619803,0.012599940436645208,0.2727311720970786,0.010022222747350155,0.8813588131024938,0.03406745501784717,0.3787326051342871,0.008422331199158622,0.9379597576806578,0.08332431847684985,0.49990027881649224
1minute,2.0,above,overbought(>70),38302,0.01461273303212595,0.7184569764646168,0.010311757005850453,0.20840123951787884,0.01928583931407152,0.8302283080112381,0.029322713510269768,0.2824471102004876,0.015773156960729694,0.9069827437940721,0.07438514017084218,0.36256199105317205,0.01964575220202803,0.9564952356508069,0.15419166479514904,0.4346767900703115
1minute,2.0,above,oversold(<30),47,-0.6112331135798429,0.8723404255319149,0.19148936170212766,0.5294135683617655,-0.987451890144796,0.8936170212765957,0.19148936170212766,0.6566050011406741,-0.5946684456293532,0.9565217391304348,0.2608695652173913,0.7472480894144821,-0.7160860888243042,1.0,0.4318181818181818,0.7154263435779802
1minute,2.0,below,neutral(30-70),60018,0.024693995617860308,0.6736863732086907,0.0027051552039995207,0.14074337157803868,0.021727153885249543,0.7802672472827519,0.007550350301136064,0.21210232652905195,0.015270529129740333,0.8634470964383969,0.02048479440850621,0.30548884975007656,0.025721246133216517,0.922833740479954,0.0548108307843902,0.41365495713784367
1minute,2.0,below,overbought(>70),55,-0.172028222764514,0.6909090909090909,0.01818181818181818,0.45483513283533444,-0.15014450111505145,0.7818181818181819,0.03636363636363636,0.5788192349646536,-0.07557985424306841,0.8867924528301887,0.07547169811320754,0.6871569554889932,0.02708041535165241,0.94,0.24,0.8151448690200387
1minute,2.0,below,oversold(<30),32018,0.06757496419757363,0.7043809769966399,0.006881623158438873,0.14434850582482392,0.07403221615475937,0.8117078659121745,0.015850954697375824,0.2057033426890407,0.08364451250265247,0.891208946772367,0.038965175537938844,0.279491759457478,0.08467392988737192,0.9417282213624106,0.08762262086215657,0.36199646956689324
1minute,3.0,above,neutral(30-70),9205,0.01811376962934393,0.6973728339854668,0.0020122973728339856,0.2503336844620798,0.009618345211718504,0.8112643678160919,0.007471264367816092,0.37248050257054355,-0.005039680981204261,0.8885034687809713,0.020564915758176414,0.5095145783425331,-0.006290903420089108,0.9473905135021687,0.05708688960402966,0.6620336178824299
