timeframe,threshold,direction,macd_sign,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
15minute,4.0,above,positive,1265,0.28045605953257274,0.8729281767955801,0.11878453038674033,0.3721570294326652,0.25443939288547035,0.9383561643835616,0.2374429223744292,0.5029696783675427,0.583567270210743,0.9387755102040817,0.5510204081632653,0.5078841672235718,,,,
15minute,4.0,below,negative,1012,0.3154295925789262,0.8273716951788491,0.08553654743390357,0.4604111817904744,0.3132115813573426,0.9052369077306733,0.18204488778054864,0.6326034507854278,0.22909791773682114,0.9696969696969697,0.4090909090909091,0.48833812019759454,,,,
15minute,4.0,below,positive,55,0.08942417593117315,0.7631578947368421,0.05263157894736842,0.42594273005869354,-0.14066069046921126,0.8518518518518519,0.14814814814814814,0.6843048072237913,0.6630626622010759,1.0,0.5,0.4556887159024902,,,,
1minute,1.5,above,negative,65129,0.009212857354502712,0.6799603080848651,0.004882735591992314,0.14861320917247967,0.002629215941687047,0.7906635727867479,0.01495375294079732,0.2229397428745503,-0.002793582757912676,0.871742308403206,0.040192899030463934,0.3171590705492319,-0.016173778551063302,0.9308123453195516,0.09624763429902461,0.426875785830135
1minute,1.5,above,positive,125996,0.014738803038793545,0.6958382394737911,0.012326931665922287,0.1716943397179683,0.014496835273072247,0.8069521060597289,0.03347861685674824,0.24115666474133565,0.0040635107729715325,0.8862621849610167,0.07585111251176405,0.3234029568656828,9.250849847367566e-05,0.9399489007950884,0.15452742768890498,0.4113224550410588
1minute,1.5,below,negative,139972,0.031584606809929444,0.6790279358320179,0.006739840681325942,0.12646655427426076,0.029481427967711745,0.7857282517145951,0.017800204548189147,0.18577777278997437,0.025035811339021108,0.8660763475803039,0.042373625671694226,0.2598425174866267,0.017788980955372673,0.9236596890425784,0.09346320689139367,0.34823232822529754
1minute,1.5,below,positive,82580,0.01616134332753761,0.6599392925726321,0.0032955460571145387,0.11771640174821892,0.013046019031898826,0.7682095760686787,0.00989973828278103,0.17814702499476465,6.336771918316742e-05,0.8516281994184066,0.028188939247072387,0.2617761192142654,0.0013038839723933315,0.9131410030330818,0.07317486068984976,0.3614023916382609
1minute,2.0,above,negative,27204,0.008617222143820115,0.6869466515323496,0.0028376844494892167,0.17812267028406364,0.004855248533657119,0.7979433449747769,0.010826542491268918,0.26293807938701197,0.01073654736941519,0.8817940876656473,0.03196738022426096,0.36556663770395326,0.00046595732243476083,0.941037103263299,0.07961555654894949,0.4855757957906332
1minute,2.0,above,positive,57202,0.016348541520617293,0.7128166541259092,0.008671038016410476,0.20475114372714728,0.019463298947721346,0.8226450336946968,0.024959712862584235,0.2843030535676602,0.01275305980704137,0.8985060745218857,0.06270224185704044,0.37459820525554455,0.018674544966553915,0.9490815480605611,0.13384091801562023,0.4632789588213995
1minute,2.0,below,negative,59101,0.04865358223558577,0.6956795302013423,0.00522581096196868,0.1450977005471877,0.0501361806566674,0.8005994579751243,0.012832708150115764,0.2126399708586325,0.05053205701063162,0.8804530282274402,0.03144957456250362,0.2960031840932985,0.05162605678480833,0.9337865163705201,0.07258099212666179,0.39105096927231375
1minute,2.0,below,positive,33002,0.02278287746234874,0.6641726171996274,0.0023284694194349582,0.13729480596418764,0.02084503988753807,0.7744606598984771,0.006376903553299493,0.20617295896341561,0.01776098338838077,0.8602416798732171,0.01921553090332805,0.2987343508400346,0.03641799023847642,0.9219041469364327,0.055854498493327596,0.4053313035822857
1minute,3.0,above,negative,5791,0.005288368532562114,0.6977406155488347,0.0019569471624266144,0.24233385943364502,-4.11983190202311e-05,0.8099671412924425,0.007667031763417305,0.3622344869424748,-0.022570856456733915,0.8879611650485437,0.021359223300970873,0.5025067698205755,-0.018131506915762433,0.9484092863284609,0.06298366294067068,0.6570257269311666
1minute,3.0,above,positive,14383,0.023412421579597824,0.7302744425385935,0.00550314465408805,0.2723360853343111,0.026640068378203714,0.8428118315261488,0.01858818322637752,0.3747277643167834,0.01913345220017449,0.9159253025567043,0.05049290694878576,0.48202739137781364,-0.0007812861894146541,0.9610811814973064,0.1110904699981423,0.5763479249802632
