symbol,timeframe,count
TRAVELFOOD,1minute,788
CENTRALBK,1minute,783
JKCEMENT,1minute,782
DEEPAKNTR,1minute,775
NLCINDIA,5minute,774
KEC,5minute,773
ABCAPITAL,1minute,771
HOMEFIRST,5minute,771
KAJARIACER,1minute,770
RKFORGE,5minute,769
JBMA,5minute,766
ITCHOTELS,1minute,765
INDUSINDBK,1minute,762
DCMSHRIRAM,5minute,762
KPRMILL,5minute,761
ADANIPOWER,5minute,761
GRSE,15minute,760
LTFOODS,5minute,755
ATUL,1minute,753
ADANIENSOL,5minute,752
CHOLAHLDNG,5minute,752
EXIDEIND,1minute,751
ZENSARTECH,5minute,749
INDUSTOWER,1minute,749
TATAELXSI,1minute,748
BLUEDART,1minute,748
MANKIND,1minute,747
HONASA,5minute,747
GMRAIRPORT,1minute,743
IKS,5minute,742
WOCKPHARMA,15minute,742
PARADEEP,15minute,739
SCHAEFFLER,1minute,739
CUMMINSIND,1minute,739
RVNL,5minute,732
360ONE,5minute,732
MSUMI,1minute,731
MCX,5minute,731
CASTROLIND,1minute,730
POLYCAB,1minute,728
DLF,1minute,725
THELEELA,1minute,724
DEVYANI,5minute,722
BANKINDIA,1minute,721
SUNTV,1minute,718
LALPATHLAB,1minute,716
GODREJIND,5minute,716
SYNGENE,1minute,714
CHOLAFIN,1minute,714
BLUEJET,15minute,713
HYUNDAI,1minute,713
EMMVEE,5minute,710
SUZLON,5minute,709
HFCL,15minute,708
BAYERCROP,1minute,706
CGCL,5minute,706
CANBK,1minute,704
FORCEMOT,15minute,703
ANANTRAJ,15minute,701
HUDCO,5minute,701
KAYNES,15minute,700
SYRMA,15minute,699
IRCON,5minute,696
IDEA,15minute,694
NIACL,5minute,694
CRAFTSMAN,5minute,693
GODFRYPHLP,15minute,693
ATGL,5minute,690
POONAWALLA,5minute,690
NBCC,5minute,688
USHAMART,5minute,687
ABLBL,1minute,686
THERMAX,5minute,686
DIXON,5minute,685
APLAPOLLO,1minute,684
ASHOKLEY,1minute,684
TEJASNET,15minute,683
CANHLIFE,1minute,681
AIIL,15minute,681
TATATECH,1minute,680
UPL,1minute,680
ACUTAAS,15minute,678
CAPLIPOINT,5minute,677
VTL,5minute,673
NEWGEN,15minute,673
NEULANDLAB,15minute,672
GODREJPROP,5minute,667
JINDALSTEL,1minute,667
EMCURE,5minute,666
LTTS,1minute,665
CPPLUS,5minute,665
MAPMYINDIA,5minute,664
SOBHA,5minute,663
ASAHIINDIA,5minute,660
SWANCORP,15minute,657
IFCI,15minute,657
ELGIEQUIP,5minute,656
CROMPTON,1minute,654
SPLPETRO,5minute,653
WELCORP,5minute,653
LATENTVIEW,5minute,649
BLUESTARCO,5minute,649
RRKABEL,5minute,648
GODIGIT,5minute,646
RHIM,5minute,644
JMFINANCIL,15minute,638
GRAVITA,15minute,638
POWERINDIA,15minute,637
TEGA,5minute,636
ACE,5minute,636
TMCV,1minute,635
NAM-INDIA,5minute,633
SIGNATURE,5minute,633
GABRIEL,15minute,631
LENSKART,1minute,629
JAINREC,5minute,627
ABSLAMC,5minute,626
ABFRL,5minute,626
TATACHEM,1minute,625
PREMIERENE,15minute,624
FLUOROCHEM,5minute,624
ESCORTS,1minute,623
PFIZER,1minute,622
YESBANK,1minute,621
CHENNPETRO,15minute,621
PNBHOUSING,5minute,621
JPPOWER,15minute,618
ETERNAL,5minute,618
PWL,5minute,617
