strategy_variant,symbol,timeframe,n_trades,win_rate_pct,avg_pnl_pct,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,expectancy_pct,sharpe_like,max_drawdown_pct,avg_bars_held,tp_rate_pct,sl_rate_pct,eod_rate_pct
baseline,UTIAMC,1minute,1120.0,32.94642857142857,-0.018307185455092315,0.9158984078467969,-0.4773243145208675,-20.504047709703393,0.9428013064783678,-0.018307185455092315,-0.02595746680808533,-64.35171666932258,35.63125,20.982142857142858,62.32142857142857,16.69642857142857
baseline,UTIAMC,5minute,752.0,33.111702127659576,0.0038155654165032073,0.9866158825956406,-0.4826998997477219,2.869305193210412,1.0118176616255992,0.0038155654165032073,0.005207740393945587,-23.669958374635844,7.949468085106383,23.27127659574468,63.430851063829785,13.297872340425531
baseline,VBL,15minute,404.0,26.732673267326735,-0.1317877660108022,0.8216486884447085,-0.479663229122948,-53.24225746836409,0.6250025423544177,-0.1317877660108022,-0.21177344796558606,-57.873814756205306,3.0297029702970297,14.85148514851485,68.8118811881188,16.33663366336634
baseline,VBL,1minute,871.0,34.098737083811706,-0.026518059039800417,0.8451488864223129,-0.47753736705765343,-23.097229423666164,0.9157362786101549,-0.026518059039800417,-0.03848950730297503,-55.126203166627135,36.98392652123995,19.97703788748565,61.653272101033295,18.369690011481058
baseline,VBL,5minute,601.0,31.78036605657238,-0.06241661862315367,0.8201722586515124,-0.47357387608525425,-37.512387792515355,0.8068017823986523,-0.06241661862315367,-0.09474331237939737,-50.853898291675165,8.906821963394343,17.304492512479204,62.39600665557404,20.299500831946755
baseline,VEDL,15minute,337.0,40.652818991097924,0.044485681228133296,0.7974440011890533,-0.47129076794509683,14.991674573880921,1.1590491008263013,0.044485681228133296,0.06422122857056385,-19.808896752083353,3.949554896142433,19.287833827893174,55.19287833827893,25.519287833827892
baseline,VEDL,1minute,808.0,37.62376237623762,0.021377598705772244,0.8414349088109618,-0.473260143897358,17.273099754263974,1.0724168805759087,0.021377598705772244,0.0304237790258399,-19.793290494454787,44.14108910891089,20.792079207920793,58.168316831683164,21.03960396039604
baseline,VEDL,5minute,548.0,38.503649635036496,0.026347333965283146,0.8100251495300952,-0.46432334580971785,14.438339012975163,1.0922713370546397,0.026347333965283146,0.038224477503750506,-17.59662675378166,10.693430656934307,18.97810218978102,56.02189781021898,25.0
baseline,VIJAYA,15minute,818.0,26.283618581907092,-0.09102404952238788,1.0342303256391607,-0.49223415011896005,-74.45767250931328,0.7491463621876905,-0.09102404952238788,-0.1289475779453323,-80.95767250931337,2.5268948655256724,20.17114914425428,71.88264058679707,7.946210268948656
baseline,VIJAYA,1minute,2218.0,32.23624887285843,0.0059024597856589785,1.0507457285241537,-0.4911454025882756,13.091655804591614,1.0177347681375384,0.0059024597856589785,0.007812858383865029,-71.75303857647098,25.249323715058612,25.067628494138866,66.05049594229035,8.881875563570784
baseline,VIJAYA,5minute,1348.0,30.712166172106826,-0.01064007577848045,1.072961896700849,-0.4909518708603245,-14.342822149391647,0.9687212911438132,-0.01064007577848045,-0.01419775302799419,-46.63918277890642,5.882047477744807,24.40652818991098,67.28486646884274,8.30860534124629
baseline,VMM,15minute,580.0,26.379310344827587,-0.11133059508421458,0.9442500349820668,-0.48955972014309296,-64.57174514884446,0.6911063566457571,-0.11133059508421458,-0.16560173551311647,-70.620523548659,2.7241379310344827,17.06896551724138,71.55172413793103,11.379310344827587
baseline,VMM,1minute,1491.0,35.68075117370892,0.04054937215591051,0.9948433773431687,-0.4888400029844664,60.45911388446257,1.1289663570675312,0.04054937215591051,0.05363944902956167,-28.7487625491472,29.93963782696177,26.22401073105298,62.441314553990615,11.334674714956405
baseline,VMM,5minute,964.0,32.053941908713696,-0.03169301438237842,0.9414223213781637,-0.4907657452984205,-30.552065864612796,0.9049559269107953,-0.03169301438237842,-0.04430757165770514,-58.52089140965916,6.476141078838174,21.57676348547718,65.97510373443983,12.448132780082988
baseline,VOLTAS,15minute,404.0,37.62376237623762,0.0116258710393925,0.8276869670156589,-0.48060145669232385,4.69685189991457,1.0387811999539343,0.0116258710393925,0.016777360214718894,-24.08189679616961,3.482673267326733,19.554455445544555,58.415841584158414,22.02970297029703
baseline,VOLTAS,1minute,916.0,38.209606986899566,0.024214306199516075,0.8372918230328975,-0.47857214413914756,22.180304478756725,1.081884868520226,0.024214306199516075,0.034372481028889595,-30.72882028362107,45.21069868995633,21.61572052401747,57.314410480349345,21.069868995633186
baseline,VOLTAS,5minute,633.0,36.492890995260666,0.017037731930226525,0.8698896402788956,-0.47303388704624744,10.784884311833391,1.0567149017483042,0.017037731930226525,0.024300713219420254,-29.554566805596227,10.09478672985782,20.69510268562401,58.451816745655606,20.85308056872038
baseline,VTL,15minute,652.0,34.04907975460122,0.03890532827115572,1.0078285137534133,-0.4613294326057307,25.36627403279353,1.1278724720137272,0.03890532827115572,0.052304850472469445,-24.197665099439952,2.6855828220858897,25.920245398773005,59.355828220858896,14.723926380368098
baseline,VTL,1minute,1568.0,34.31122448979592,0.030757000822708064,1.0083318103793688,-0.4798597443631982,48.226977290006246,1.0975749864383513,0.030757000822708064,0.04104404224819126,-28.021651169958126,28.368622448979593,25.38265306122449,61.54336734693877,13.073979591836734
baseline,VTL,5minute,1010.0,30.99009900990099,0.0033967332873859318,1.0564083052882072,-0.4694764690601852,3.430700620259791,1.0104842221193484,0.0033967332873859318,0.004569723951307,-42.91300014588357,6.477227722772278,25.247524752475247,63.16831683168317,11.584158415841586
baseline,WAAREEENER,15minute,917.0,28.46237731733915,-0.06310080417768778,1.007791005295647,-0.489172088129731,-57.8634374309397,0.8196821494136622,-0.06310080417768778,-0.08851469349737481,-72.63467727395673,2.4427480916030535,21.155943293347875,69.24754634678298,9.59651035986914
baseline,WAAREEENER,1minute,2090.0,30.574162679425836,-0.019319247716184772,1.0361258512687703,-0.4841224305221022,-40.37722772682618,0.9425203811236909,-0.019319247716184772,-0.026186861901536396,-86.78318855770246,29.542583732057416,24.210526315789473,66.1244019138756,9.665071770334928
baseline,WAAREEENER,5minute,1383.0,31.09182935647144,-0.027758780456086717,0.9877678597325624,-0.4859712204152884,-38.39039337076793,0.9171067608051325,-0.027758780456086717,-0.038256797148973364,-60.909452655748936,6.655820679681851,22.84887924801157,66.23282718727404,10.91829356471439
baseline,WELCORP,15minute,661.0,31.77004538577912,-0.04602737528350492,0.903524177505185,-0.4881688965376621,-30.424095062396756,0.8618117800946195,-0.04602737528350492,-0.06598248934635252,-43.29309498109731,3.0998487140695916,19.213313161875945,65.80937972768533,14.977307110438728
baseline,WELCORP,1minute,1504.0,33.577127659574465,-0.01790241414553679,0.903656958037028,-0.48375575043402047,-26.925230874887333,0.9442855551923381,-0.01790241414553679,-0.025337856550944737,-63.039978283776776,39.12765957446808,20.944148936170212,63.56382978723404,15.492021276595743
baseline,WELCORP,5minute,976.0,35.14344262295082,0.009209844091590154,0.9228924559527297,-0.48588199772258184,8.98880783339199,1.0292258787058435,0.009209844091590154,0.012743887424787995,-43.30650083986703,8.229508196721312,22.23360655737705,62.192622950819676,15.573770491803279
baseline,WELSPUNLIV,15minute,853.0,32.23915592028136,0.004587513523502815,1.0452347097864167,-0.4905300971552192,3.9131490355479013,1.0138017097829533,0.004587513523502815,0.0060963170083905005,-32.455553994991604,2.926143024618992,24.85345838218054,65.41617819460727,9.730363423212191
baseline,WELSPUNLIV,1minute,2026.0,30.306021717670284,-0.03994919662220867,0.9712378976006066,-0.4796580322120165,-80.93707235659477,0.8804963767427215,-0.03994919662220867,-0.05616308826459514,-101.19133407121949,30.575518262586378,21.42152023692004,65.74531095755182,12.833168805528134
baseline,WELSPUNLIV,5minute,1320.0,31.666666666666664,-0.008673346715718426,1.0080875040224448,-0.47985520437486723,-11.448817664748322,0.9735488905922299,-0.008673346715718426,-0.011808818251996263,-56.910820821250624,7.121212121212121,23.03030303030303,64.6969696969697,12.272727272727273
baseline,WHIRLPOOL,15minute,535.0,37.19626168224299,0.06392938051573765,0.9763079246415306,-0.4764376738920979,34.202218575919645,1.2136529556083988,0.06392938051573765,0.08411914047001766,-19.52222469737159,3.3121495327102806,25.794392523364486,58.69158878504673,15.514018691588785
baseline,WHIRLPOOL,1minute,1346.0,36.775631500742946,0.06126420919123644,1.0045107423146111,-0.48739270490520364,82.46162557140426,1.198812326378707,0.06126420919123644,0.08006878277465418,-22.04891872313089,38.36701337295691,26.968796433878158,60.62407132243685,12.407132243684993
baseline,WHIRLPOOL,5minute,838.0,37.3508353221957,0.0570650036822579,0.9613877071867559,-0.4820835795499475,47.82047308573212,1.1889436173835854,0.0570650036822579,0.07591912521267544,-14.999999999999702,8.325775656324582,25.53699284009546,58.94988066825776,15.513126491646778
baseline,WIPRO,15minute,64.0,50.0,0.08410195899446088,0.5967800751432892,-0.4285761571543675,5.382525375645496,1.392471478361632,0.08410195899446088,0.14164051850070894,-3.0761640023169727,4.84375,10.9375,40.625,48.4375
baseline,WIPRO,1minute,155.0,47.096774193548384,0.10261420487833318,0.7087692818288024,-0.43701165630927963,15.905201756141643,1.4438459987841277,0.10261420487833318,0.15297805643235515,-4.542546471171198,73.36774193548388,18.064516129032256,45.16129032258064,36.774193548387096
baseline,WIPRO,5minute,98.0,48.97959183673469,0.08292980917287027,0.5986977826743539,-0.4122074453885539,8.127121298941287,1.3943219070815436,0.08292980917287027,0.13358147955976582,-3.583900854711189,14.785714285714286,15.306122448979592,40.816326530612244,43.87755102040816
baseline,WOCKPHARMA,15minute,1381.0,29.39898624185373,-0.02975842876709887,1.0442064975159209,-0.4769684390962333,-41.09639012736354,0.9116290717259203,-0.02975842876709887,-0.04094354991384915,-85.421385970552,2.6335988414192615,22.519913106444605,66.2563359884142,11.223750905141202
baseline,WOCKPHARMA,1minute,3387.0,33.36285798641866,0.03253997521267727,1.0616707968328143,-0.4827093949382997,110.21289604533791,1.1011614635365978,0.03253997521267727,0.042570326729578174,-55.831504595784196,27.178624151166225,27.13315618541482,63.4484794803661,9.418364334219072
baseline,WOCKPHARMA,5minute,2187.0,32.28166438042982,0.01688560648269368,1.0537306105419129,-0.47738351766707593,36.92882137765108,1.052232759198987,0.01688560648269368,0.0224133891168198,-53.767349753973285,6.30315500685871,25.65157750342936,63.328760859625056,11.019661636945589
baseline,YESBANK,15minute,234.0,35.47008547008547,0.018595263776828463,0.9094748054697577,-0.47109349092855624,4.3512917237778606,1.0611693900188974,0.018595263776828463,0.02608323542782273,-14.498495133638233,3.6196581196581197,20.94017094017094,60.256410256410255,18.803418803418804
baseline,YESBANK,1minute,558.0,37.096774193548384,0.012678513780979684,0.836106280145343,-0.4729327330492859,7.074610689786664,1.0426182934744923,0.012678513780979684,0.018230515541084825,-28.97983006766784,49.087813620071685,20.43010752688172,58.422939068100355,21.14695340501792
