symbol,n,total_pnl,avg_pnl,win_rate
SBILIFE,4,-2.6645352591003757e-14,-6.661338147750939e-15,25.0
TIMKEN,4,-2.6867397195928788e-14,-6.716849298982197e-15,25.0
HAL,4,-2.808864252301646e-14,-7.022160630754115e-15,25.0
ICICIAMC,1,-0.02857959416976279,-0.02857959416976279,0.0
BALRAMCHIN,5,-0.04119241078376645,-0.008238482156753291,40.0
NAUKRI,2,-0.1643284417093388,-0.0821642208546694,50.0
PETRONET,1,-0.1771479185119575,-0.1771479185119575,0.0
SCHAEFFLER,4,-0.19532569926782894,-0.048831424816957236,25.0
ELECON,26,-0.2069655895247967,-0.00796021498172295,26.923076923076923
ONESOURCE,52,-0.20999314239562827,-0.00403832966145439,26.923076923076923
ADANIPORTS,14,-0.2239536954584923,-0.015996692532749452,28.57142857142857
MOTHERSON,2,-0.33747387973066245,-0.16873693986533123,50.0
SAMMAANCAP,19,-0.3705743509047461,-0.01950391320551295,26.31578947368421
AUBANK,2,-0.4050061745986364,-0.2025030872993182,50.0
ENGINERSIN,12,-0.4215177866633323,-0.03512648222194436,25.0
RAMCOCEM,2,-0.4638760950058703,-0.23193804750293515,50.0
POLYCAB,3,-0.4681595521343772,-0.1560531840447924,33.33333333333333
ADANIENSOL,30,-0.49008231677074027,-0.01633607722569134,26.666666666666668
SUPREMEIND,9,-0.49999999999995537,-0.0555555555555506,22.22222222222222
SOBHA,9,-0.4999999999999691,-0.05555555555555212,22.22222222222222
GODREJPROP,1,-0.49999999999998546,-0.49999999999998546,0.0
IDFCFIRSTB,1,-0.4999999999999864,-0.4999999999999864,0.0
BAJAJ-AUTO,1,-0.49999999999998945,-0.49999999999998945,0.0
APLAPOLLO,1,-0.49999999999998995,-0.49999999999998995,0.0
JSWINFRA,1,-0.4999999999999915,-0.4999999999999915,0.0
LTTS,1,-0.49999999999999195,-0.49999999999999195,0.0
APOLLOTYRE,1,-0.49999999999999317,-0.49999999999999317,0.0
CIPLA,1,-0.4999999999999935,-0.4999999999999935,0.0
GLENMARK,1,-0.49999999999999384,-0.49999999999999384,0.0
GESHIP,5,-0.499999999999994,-0.0999999999999988,20.0
BAJAJFINSV,1,-0.4999999999999958,-0.4999999999999958,0.0
ULTRACEMCO,1,-0.49999999999999734,-0.49999999999999734,0.0
JIOFIN,1,-0.4999999999999983,-0.4999999999999983,0.0
LT,1,-0.4999999999999994,-0.4999999999999994,0.0
TATACONSUM,1,-0.5000000000000017,-0.5000000000000017,0.0
PNB,1,-0.5000000000000049,-0.5000000000000049,0.0
NSLNISP,9,-0.5000000000000062,-0.055555555555556246,22.22222222222222
IGL,1,-0.5000000000000077,-0.5000000000000077,0.0
MEDANTA,3,-0.5206816971418171,-0.17356056571393905,33.33333333333333
AFFLE,11,-0.53224850121876,-0.04838622738352363,27.27272727272727
THELEELA,3,-0.558773616924993,-0.18625787230833102,33.33333333333333
CEATLTD,13,-0.6567279908331908,-0.05051753775639929,30.76923076923077
UCOBANK,11,-0.7062279670974523,-0.06420254246340475,27.27272727272727
MOTILALOFS,17,-0.70847966527837,-0.04167527442813941,29.411764705882355
BSE,42,-0.8166378814045746,-0.0194437590810613,23.809523809523807
IFCI,52,-0.8356020093984619,-0.016069269411508883,25.0
ECLERX,20,-0.8367713494636666,-0.04183856747318333,30.0
HOMEFIRST,15,-0.8731464065437988,-0.058209760436253255,26.666666666666668
TATACAP,2,-0.8830911492734339,-0.44154557463671695,0.0
SONATSOFTW,33,-0.9308793831464741,-0.028208466155953762,24.242424242424242
NAVINFLUOR,11,-0.9530791788855506,-0.08664356171686824,27.27272727272727
APTUS,7,-0.9807655318330447,-0.14010936169043495,28.57142857142857
MAHABANK,6,-0.9999999999999463,-0.16666666666665772,16.666666666666664
IPCALAB,6,-0.9999999999999543,-0.16666666666665905,16.666666666666664
M&MFIN,6,-0.9999999999999625,-0.1666666666666604,16.666666666666664
INDIANB,6,-0.999999999999966,-0.166666666666661,16.666666666666664
EMAMILTD,2,-0.999999999999968,-0.499999999999984,0.0
TATATECH,2,-0.9999999999999769,-0.49999999999998845,0.0
TMPV,6,-0.9999999999999858,-0.1666666666666643,16.666666666666664
DLF,2,-0.999999999999986,-0.499999999999993,0.0
TVSMOTOR,2,-0.9999999999999889,-0.49999999999999445,0.0
ITC,2,-0.9999999999999896,-0.4999999999999948,0.0
RECLTD,2,-0.9999999999999949,-0.49999999999999745,0.0
MGL,2,-0.9999999999999952,-0.4999999999999976,0.0
ICICIPRULI,2,-1.0000000000000036,-0.5000000000000018,0.0
UNOMINDA,10,-1.0000000000000067,-0.10000000000000067,20.0
ZFCVINDIA,15,-1.1132930513594734,-0.07421953675729823,20.0
ZYDUSWELL,11,-1.2155805977462006,-0.11050732706783642,18.181818181818183
CONCORDBIO,29,-1.2379401928152294,-0.042687592855697565,24.137931034482758
CRISIL,11,-1.2621806689491137,-0.11474369717719216,18.181818181818183
RAINBOW,3,-1.2635263114551605,-0.4211754371517202,0.0
DOMS,21,-1.2894953030589638,-0.061404538240903035,23.809523809523807
